Step,AgentID,FirmType,Profit,IncomeBracket,NumPeople,SpendRatio,IncomeTaxRate,PostTaxIncome,HouseholdExpense,HouseholdSavings,HealthLevel,Welfare
1,2,necessity,0.0,,,,,,,,,
1,3,necessity,0.0,,,,,,,,,
1,4,necessity,0.0,,,,,,,,,
1,5,necessity,0.0,,,,,,,,,
1,6,necessity,0.0,,,,,,,,,
1,7,necessity,0.0,,,,,,,,,
1,8,necessity,0.0,,,,,,,,,
1,9,necessity,0.0,,,,,,,,,
1,10,necessity,0.0,,,,,,,,,
1,11,necessity,0.0,,,,,,,,,
1,12,necessity,0.0,,,,,,,,,
1,13,necessity,0.0,,,,,,,,,
1,14,necessity,0.0,,,,,,,,,
1,15,necessity,0.0,,,,,,,,,
1,16,necessity,0.0,,,,,,,,,
1,17,necessity,0.0,,,,,,,,,
1,18,necessity,0.0,,,,,,,,,
1,19,necessity,0.0,,,,,,,,,
1,20,necessity,0.0,,,,,,,,,
1,21,necessity,0.0,,,,,,,,,
1,22,necessity,0.0,,,,,,,,,
1,23,necessity,0.0,,,,,,,,,
1,24,necessity,0.0,,,,,,,,,
1,25,necessity,0.0,,,,,,,,,
1,26,necessity,0.0,,,,,,,,,
1,27,necessity,0.0,,,,,,,,,
1,28,necessity,0.0,,,,,,,,,
1,29,necessity,0.0,,,,,,,,,
1,30,necessity,0.0,,,,,,,,,
1,31,necessity,0.0,,,,,,,,,
1,32,luxury,0.0,,,,,,,,,
1,33,luxury,0.0,,,,,,,,,
1,34,luxury,0.0,,,,,,,,,
1,35,luxury,0.0,,,,,,,,,
1,36,luxury,0.0,,,,,,,,,
1,37,luxury,0.0,,,,,,,,,
1,38,luxury,0.0,,,,,,,,,
1,39,luxury,0.0,,,,,,,,,
1,40,luxury,0.0,,,,,,,,,
1,41,luxury,0.0,,,,,,,,,
1,42,luxury,0.0,,,,,,,,,
1,43,luxury,0.0,,,,,,,,,
1,44,luxury,0.0,,,,,,,,,
1,45,luxury,0.0,,,,,,,,,
1,46,luxury,0.0,,,,,,,,,
1,47,luxury,0.0,,,,,,,,,
1,48,luxury,0.0,,,,,,,,,
1,49,luxury,0.0,,,,,,,,,
1,50,luxury,0.0,,,,,,,,,
1,51,luxury,0.0,,,,,,,,,
2,2,necessity,-2672078.8091120287,,,,,,,,,
2,3,necessity,-1628235.2042909632,,,,,,,,,
2,4,necessity,-2052076.928370357,,,,,,,,,
2,5,necessity,-3251684.4266378633,,,,,,,,,
2,6,necessity,-2513530.3433803036,,,,,,,,,
2,7,necessity,-2531202.043823141,,,,,,,,,
2,8,necessity,-2564765.6649194574,,,,,,,,,
2,9,necessity,-1605548.4690307248,,,,,,,,,
2,10,necessity,-2723607.7201912757,,,,,,,,,
2,11,necessity,-2535200.0504547204,,,,,,,,,
2,12,necessity,-1587850.5756606157,,,,,,,,,
2,13,necessity,-1651115.1388065564,,,,,,,,,
2,14,necessity,-2900132.329001141,,,,,,,,,
2,15,necessity,-2490085.9601390543,,,,,,,,,
2,16,necessity,-1647974.5157347606,,,,,,,,,
2,17,necessity,-1947231.2689229595,,,,,,,,,
2,18,necessity,-2048408.697851316,,,,,,,,,
2,19,necessity,-1829964.1047756847,,,,,,,,,
2,20,necessity,-3080091.6759013557,,,,,,,,,
2,21,necessity,-2545819.1718588374,,,,,,,,,
2,22,necessity,-2518242.7207720224,,,,,,,,,
2,23,necessity,-1372078.3449320227,,,,,,,,,
2,24,necessity,-1175530.1865281698,,,,,,,,,
2,25,necessity,-1505225.8795686262,,,,,,,,,
2,26,necessity,-1662602.5079018916,,,,,,,,,
2,27,necessity,-1742049.232226309,,,,,,,,,
2,28,necessity,-2471282.148810977,,,,,,,,,
2,29,necessity,-2904601.4316861858,,,,,,,,,
2,30,necessity,-1603428.3719318332,,,,,,,,,
2,31,necessity,-2568771.2327886634,,,,,,,,,
2,32,luxury,-851919.4744617977,,,,,,,,,
2,33,luxury,-891679.9541593319,,,,,,,,,
2,34,luxury,-927607.8817925256,,,,,,,,,
2,35,luxury,-1534545.9553649428,,,,,,,,,
2,36,luxury,-2407507.2406302956,,,,,,,,,
2,37,luxury,-1448826.348885984,,,,,,,,,
2,38,luxury,-2404973.1340044285,,,,,,,,,
2,39,luxury,-1370921.5568438442,,,,,,,,,
2,40,luxury,-1868148.8139021436,,,,,,,,,
2,41,luxury,-1378378.9417461217,,,,,,,,,
2,42,luxury,-2142438.1299845157,,,,,,,,,
2,43,luxury,-1509102.8508328032,,,,,,,,,
2,44,luxury,-655448.8107511632,,,,,,,,,
2,45,luxury,-2731521.2572935433,,,,,,,,,
2,46,luxury,-611853.4681966422,,,,,,,,,
2,47,luxury,-1630173.6061861592,,,,,,,,,
2,48,luxury,-892780.7924915468,,,,,,,,,
2,49,luxury,-1653420.2902414391,,,,,,,,,
2,50,luxury,-1735107.6942824223,,,,,,,,,
2,51,luxury,-803207.7044223988,,,,,,,,,
3,2,necessity,-2672078.8091120287,,,,,,,,,
3,3,necessity,-1628235.2042909632,,,,,,,,,
3,4,necessity,-2052076.928370357,,,,,,,,,
3,5,necessity,-3251684.4266378633,,,,,,,,,
3,6,necessity,-2513530.3433803036,,,,,,,,,
3,7,necessity,-2531202.043823141,,,,,,,,,
3,8,necessity,-2564765.6649194574,,,,,,,,,
3,9,necessity,-1605548.4690307248,,,,,,,,,
3,10,necessity,-2723607.7201912757,,,,,,,,,
3,11,necessity,-2535200.0504547204,,,,,,,,,
3,12,necessity,-1587850.5756606157,,,,,,,,,
3,13,necessity,-1651115.1388065564,,,,,,,,,
3,14,necessity,-2900132.329001141,,,,,,,,,
3,15,necessity,-2490085.9601390543,,,,,,,,,
3,16,necessity,-1647974.5157347606,,,,,,,,,
3,17,necessity,-1947231.2689229595,,,,,,,,,
3,18,necessity,-2048408.697851316,,,,,,,,,
3,19,necessity,-1829964.1047756847,,,,,,,,,
3,20,necessity,-3080091.6759013557,,,,,,,,,
3,21,necessity,-2545819.1718588374,,,,,,,,,
3,22,necessity,-2518242.7207720224,,,,,,,,,
3,23,necessity,-1372078.3449320227,,,,,,,,,
3,24,necessity,-1175530.1865281698,,,,,,,,,
3,25,necessity,-1505225.8795686262,,,,,,,,,
3,26,necessity,-1662602.5079018916,,,,,,,,,
3,27,necessity,-1742049.232226309,,,,,,,,,
3,28,necessity,-2471282.148810977,,,,,,,,,
3,29,necessity,-2904601.4316861858,,,,,,,,,
3,30,necessity,-1603428.3719318332,,,,,,,,,
3,31,necessity,-2568771.2327886634,,,,,,,,,
3,32,luxury,-851919.4744617977,,,,,,,,,
3,33,luxury,-891679.9541593319,,,,,,,,,
3,34,luxury,-927607.8817925256,,,,,,,,,
3,35,luxury,-1534545.9553649428,,,,,,,,,
3,36,luxury,-2407507.2406302956,,,,,,,,,
3,37,luxury,-1448826.348885984,,,,,,,,,
3,38,luxury,-2404973.1340044285,,,,,,,,,
3,39,luxury,-1370921.5568438442,,,,,,,,,
3,40,luxury,-1868148.8139021436,,,,,,,,,
3,41,luxury,-1378378.9417461217,,,,,,,,,
3,42,luxury,-2142438.1299845157,,,,,,,,,
3,43,luxury,-1509102.8508328032,,,,,,,,,
3,44,luxury,-655448.8107511632,,,,,,,,,
3,45,luxury,-2731521.2572935433,,,,,,,,,
