Step,AgentID,FirmType,Profit,IncomeBracket,NumPeople,SpendRatio,IncomeTaxRate,PostTaxIncome,HouseholdExpense,HouseholdSavings,HealthLevel,Welfare
1,52,,,middle,1.0,0.73,0.15,0.0,0.0,0.0,0.0,0.0
1,53,,,high,1.0,0.58,0.15,0.0,0.0,0.0,0.0,0.0
1,54,,,low,1.0,0.45,0.15,0.0,0.0,0.0,0.0,0.0
1,55,,,low,2.0,0.81,0.15,0.0,0.0,0.0,0.0,0.0
1,56,,,middle,3.0,0.5,0.15,0.0,0.0,0.0,0.0,0.0
1,57,,,low,5.0,0.96,0.15,0.0,0.0,0.0,0.0,0.0
1,58,,,low,1.0,0.92,0.15,0.0,0.0,0.0,0.0,0.0
1,59,,,low,2.0,0.75,0.15,0.0,0.0,0.0,0.0,0.0
1,60,,,middle,2.0,0.94,0.15,0.0,0.0,0.0,0.0,0.0
1,61,,,low,4.0,0.92,0.15,0.0,0.0,0.0,0.0,0.0
1,62,,,low,1.0,0.68,0.15,0.0,0.0,0.0,0.0,0.0
1,63,,,low,1.0,0.91,0.15,0.0,0.0,0.0,0.0,0.0
1,64,,,high,3.0,1.0,0.15,0.0,0.0,0.0,0.0,0.0
1,65,,,middle,5.0,0.92,0.15,0.0,0.0,0.0,0.0,0.0
1,66,,,high,2.0,0.79,0.15,0.0,0.0,0.0,0.0,0.0
1,67,,,middle,1.0,0.8,0.15,0.0,0.0,0.0,0.0,0.0
1,68,,,middle,3.0,0.68,0.15,0.0,0.0,0.0,0.0,0.0
1,69,,,low,2.0,0.71,0.15,0.0,0.0,0.0,0.0,0.0
1,70,,,high,5.0,0.53,0.15,0.0,0.0,0.0,0.0,0.0
1,71,,,middle,4.0,0.57,0.15,0.0,0.0,0.0,0.0,0.0
1,72,,,high,3.0,0.54,0.15,0.0,0.0,0.0,0.0,0.0
1,73,,,low,1.0,0.83,0.15,0.0,0.0,0.0,0.0,0.0
1,74,,,middle,4.0,0.79,0.15,0.0,0.0,0.0,0.0,0.0
1,75,,,low,3.0,0.83,0.15,0.0,0.0,0.0,0.0,0.0
1,76,,,high,1.0,0.85,0.15,0.0,0.0,0.0,0.0,0.0
1,77,,,middle,4.0,0.57,0.15,0.0,0.0,0.0,0.0,0.0
1,78,,,middle,2.0,0.6,0.15,0.0,0.0,0.0,0.0,0.0
1,79,,,middle,1.0,0.67,0.15,0.0,0.0,0.0,0.0,0.0
1,80,,,low,4.0,0.56,0.15,0.0,0.0,0.0,0.0,0.0
1,81,,,high,1.0,0.67,0.15,0.0,0.0,0.0,0.0,0.0
1,82,,,middle,4.0,0.51,0.15,0.0,0.0,0.0,0.0,0.0
1,83,,,middle,3.0,0.83,0.15,0.0,0.0,0.0,0.0,0.0
1,84,,,middle,4.0,0.61,0.15,0.0,0.0,0.0,0.0,0.0
1,85,,,high,5.0,0.51,0.15,0.0,0.0,0.0,0.0,0.0
1,86,,,low,1.0,0.91,0.15,0.0,0.0,0.0,0.0,0.0
1,87,,,middle,2.0,0.5,0.15,0.0,0.0,0.0,0.0,0.0
1,88,,,middle,1.0,0.44,0.15,0.0,0.0,0.0,0.0,0.0
1,89,,,low,3.0,0.67,0.15,0.0,0.0,0.0,0.0,0.0
1,90,,,high,2.0,0.44,0.15,0.0,0.0,0.0,0.0,0.0
1,91,,,high,3.0,0.86,0.15,0.0,0.0,0.0,0.0,0.0
1,92,,,high,1.0,0.46,0.15,0.0,0.0,0.0,0.0,0.0
1,93,,,high,5.0,0.71,0.15,0.0,0.0,0.0,0.0,0.0
1,94,,,high,4.0,0.92,0.15,0.0,0.0,0.0,0.0,0.0
1,95,,,middle,1.0,0.67,0.15,0.0,0.0,0.0,0.0,0.0
1,96,,,middle,1.0,0.7,0.15,0.0,0.0,0.0,0.0,0.0
1,97,,,high,2.0,0.89,0.15,0.0,0.0,0.0,0.0,0.0
1,98,,,middle,5.0,0.58,0.15,0.0,0.0,0.0,0.0,0.0
1,99,,,low,1.0,0.71,0.15,0.0,0.0,0.0,0.0,0.0
