Step,AgentID,FirmType,Profit,Inventory,ProductPrice,RevenuePerEmployee,ProductionLevel,NumEmployees,DemandReceived,InventoryDemandRatio,SellThroughRate,ProductionCapacity,Revenue,Costs,Markup,ProducedUnits,IncomeBracket,NumPeople,SpendRatio,PostTaxIncome,HouseholdExpense,HouseholdSavings,HealthLevel,Welfare,SkillLevel,SkillType,JobLevel,IsEmployed,Wage
1,2,necessity,0.0,440.3,3.2327007525650315,0.0,0.917908893388816,70.0,0.0,,,4403.0,0.0,0.0,0.12,0.0,,,,,,,,,,,,0,
1,3,necessity,0.0,448.3,3.688840432676689,0.0,0.7261627041725783,41.0,0.0,,,4483.0,0.0,0.0,0.12,0.0,,,,,,,,,,,,0,
1,4,necessity,0.0,643.6,3.8346805014206327,0.0,0.8699738554694777,35.0,0.0,,,6436.0,0.0,0.0,0.12,0.0,,,,,,,,,,,,0,
1,5,necessity,0.0,502.3,3.1092099698912095,0.0,0.8089693249479477,107.0,0.0,,,5023.0,0.0,0.0,0.12,0.0,,,,,,,,,,,,0,
1,6,necessity,0.0,587.5,3.7671623109974655,0.0,0.9034311053777837,62.0,0.0,,,5875.0,0.0,0.0,0.12,0.0,,,,,,,,,,,,0,
1,7,necessity,0.0,729.3000000000001,2.7072647372527885,0.0,0.7167775153116566,68.0,0.0,,,7293.0,0.0,0.0,0.12,0.0,,,,,,,,,,,,0,
1,8,necessity,0.0,845.6,3.071414504992656,0.0,0.7436389158254575,70.0,0.0,,,8456.0,0.0,0.0,0.12,0.0,,,,,,,,,,,,0,
1,9,necessity,0.0,840.4000000000001,3.1410455533329844,0.0,0.8650993553454098,39.0,0.0,,,8404.0,0.0,0.0,0.12,0.0,,,,,,,,,,,,0,
1,10,necessity,0.0,712.2,3.1699458101977673,0.0,0.9664841314080364,38.0,0.0,,,7122.0,0.0,0.0,0.12,0.0,,,,,,,,,,,,0,
1,11,necessity,0.0,778.5,3.1362568780479605,0.0,0.8586798734361297,57.0,0.0,,,7785.0,0.0,0.0,0.12,0.0,,,,,,,,,,,,0,
