,Reserves,Yearly Public Spending,Unemployment Rate,GDP,Tax Revenue,Inflation Rate,Interest Rate
0,5439372030600.0,109843007650.0,8.4,0.0,0.0,39.05,42.5
1,5329529022950.0,120827308415.00002,100.0,0.0,0.0,39.05,42.5
2,5208708446446.806,132910039256.50003,97.97228793511321,310935679.50474817,6731911.805921995,39.05,42.5
3,5075813981300.034,146201043182.15005,95.94457587022643,36322652.245003015,15574109.728390966,39.05,42.5
4,4929633014232.566,160821147500.36508,94.86312943562014,82073616.7730928,20076114.68243013,39.05,42.5
5,4768832495369.677,176903262250.4016,94.05204460966543,105586671.17540379,20628637.47604622,39.05,42.5
6,4591944622754.088,194593588475.4418,94.72794863129435,105995804.97939613,15389634.812069613,39.05,42.5
7,4397365062826.4546,214052947322.986,94.93071983778304,78007401.6983398,14028547.808814064,39.05,42.5
8,4183326719360.553,235458242055.2846,95.20108144643461,91198184.49365275,14603857.084275747,39.05,42.5
9,3947881931996.7095,259004066260.81308,95.20108144643461,81952207.4142156,13454691.44089696,39.05,42.5
10,3688890773171.8203,284904472886.8944,95.40385265292328,86255451.29839142,12907435.924056493,39.05,42.5
11,3404001873586.171,313394920175.58386,94.99831023994592,70397522.75349371,15573301.245222334,39.05,42.5
12,3090624714538.312,344734412193.1423,94.66035822913146,93564272.71877605,17761127.72518777,39.05,42.5
13,2745907969748.718,379207853412.45654,94.05204460966543,89950387.89497507,17667403.54807691,39.05,42.5
14,2366715996143.1855,417128638753.7022,94.62656302805001,99438271.45059545,15879806.924409922,39.05,42.5
15,1949604391743.6738,458841502629.07245,94.28861101723555,86234618.46891536,17034354.190187514,39.05,42.5
16,1490781281968.1218,504725652891.97974,94.22102061507266,101815574.38957411,18392853.520456307,39.05,42.5
17,986073849053.1042,555198218181.1777,93.95065900642109,95846857.98491186,18219976.962195348,39.05,42.5
18,430892340115.61206,610718039999.2955,94.35620141939845,110032612.17487134,16709243.685526216,39.05,42.5
19,-179809579571.63013,488574431999.43646,94.22102061507266,104696687.7771172,16120312.053371932,39.05,42.5
20,-668368035227.2557,390859545599.5492,94.49138222372423,90962520.61529687,15976343.810839714,39.05,42.5
21,-1059210617416.4512,312687636479.63934,94.22102061507266,98850453.67810011,16963410.35377241,39.05,42.5
22,-1371880474990.3572,250150109183.7115,94.15343021290977,104465231.06813508,17778905.73335659,39.05,42.5
23,-1622011868629.2444,200120087346.9692,93.71409259885097,99231173.77938728,18715544.82421309,39.05,42.5
24,-1822113257605.77,160096069877.57538,93.84927340317675,134945527.42773202,18698370.443721,39.05,42.5
25,-1982189861689.5295,128076855902.0603,93.8154782020953,94154533.42968553,19465793.816024,39.05,42.5
26,-2110246329307.8704,102461484721.64825,94.01824940858397,136285617.7980863,20388283.71938461,39.05,42.5
27,-2212688061409.4165,81969187777.3186,93.68029739776952,98006350.32575023,19752620.10194495,39.05,42.5
28,-2294638116204.4473,65575350221.85489,93.91686380533964,142849214.07175207,19132982.28814478,39.05,42.5
29,-2360194605965.2725,52460280177.48392,93.84927340317675,102982381.35078607,18860461.03002377,39.05,42.5
30,-2412635815609.587,41968224141.98714,94.15343021290977,143451476.50992897,19070533.169218797,39.05,42.5
31,-2454586396301.7944,33574579313.58971,94.22102061507266,103177139.17920664,17643449.779568434,39.05,42.5
32,-2488143567264.461,26859663450.87177,94.52517742480568,141298126.88900957,17408350.923179407,39.05,42.5
33,-2514986406298.263,21487730760.69742,94.55897262588712,91301140.95124695,16824417.069464333,39.05,42.5
34,-2536456739184.099,17190184608.557934,94.6941534302129,159369071.57099506,17397874.86142344,39.05,42.5
35,-2553627077237.605,13752147686.846348,94.22102061507266,87288205.72090283,19846555.05218109,39.05,42.5
36,-2567356460331.9927,11001718149.47708,93.91686380533964,164136998.11222947,22764592.45861014,39.05,42.5
37,-2578336947687.9717,8801374519.581663,93.4437309901994,105482526.0446243,21230793.49827816,39.05,42.5
38,-2587116943326.93,7041099615.665331,93.64650219668808,140452748.67779815,21378880.62285937,39.05,42.5
39,-2594136971199.3213,5632879692.532265,93.20716458262926,106903018.91271722,21071743.274425987,39.05,42.5
40,-2599746979579.7964,4506303754.025812,93.40993578911795,139517089.75340363,22871312.056927584,39.05,42.5
41,-2604230013342.7075,3605043003.2206497,93.20716458262926,109210774.8668907,23269991.114802476,39.05,42.5
42,-2607810971211.812,2884034402.57652,93.34234538695505,150626872.64957047,24085134.11610694,39.05,42.5
43,-2610670887525.647,2307227522.061216,93.07198377830348,117630796.97406615,24118088.7415546,39.05,42.5
44,-2612953337869.4443,1845782017.6489727,93.10577897938492,158538046.93531203,24777178.263538547,39.05,42.5
45,-2614775381753.0063,1476625614.1191783,93.03818857722203,122215966.44081052,23738134.0867835,39.05,42.5
46,-2616228349171.7925,1181300491.2953427,93.13957418046638,154770799.03816453,23658195.33303802,39.05,42.5
47,-2617384827248.1396,945040393.0362742,92.76782696857046,123410798.35981557,24822414.94807003,39.05,42.5
48,-2618305933847.9507,756032314.4290195,93.07198377830348,180580544.45906484,23933793.22506289,39.05,42.5
49,-2619038685061.805,604825851.5432156,92.90300777289625,125567650.82506792,23281100.574515227,39.05,42.5
50,-2619619415469.392,483860681.2345725,93.0043933761406,169327316.10530385,24095443.956454158,39.05,42.5
51,-2620077218701.945,387088544.987658,92.56505576208178,133394283.95366304,26057448.68156872,39.05,42.5
52,-2620438933310.9614,309670835.99012643,92.86921257181481,171247263.0391535,25373935.97099195,39.05,42.5
