,Reserves,Yearly Public Spending,Unemployment Rate,GDP,Tax Revenue,Inflation Rate,Interest Rate
0,5439372030600.0,109843007650.0,8.4,0.0,0.0,39.05,42.5
1,5329529022950.0,120827308415.00002,100.0,0.0,0.0,39.05,42.5
2,5208708291101.422,132910039256.50003,98.01718440185063,330241318.17017394,6576566.4217245355,39.05,42.5
3,5075813599656.84,146201043182.15005,96.03436880370126,36242355.4843808,15347811.91805032,39.05,42.5
4,4929629762200.18,160821147500.36508,96.69530733641771,83094514.74743061,17205725.489946578,39.05,42.5
5,4768825108283.019,176903262250.4016,95.63780568407138,91628470.35827905,16493583.203690626,39.05,42.5
6,4591933326549.137,194593588475.4418,97.15796430931924,107212311.54646488,11480516.519222183,39.05,42.5
7,4397353294398.8364,214052947322.986,96.03436880370126,59395247.518450655,13556325.141669389,39.05,42.5
8,4183313795856.2646,235458242055.2846,96.99272967614012,112021943.18945365,13448780.413879115,39.05,42.5
9,3947870127588.3237,259004066260.81308,95.86913417052214,75356726.20917606,14573787.343975967,39.05,42.5
10,3688880825376.6646,284904472886.8944,96.86054196959682,110528004.4612709,14764049.153884793,39.05,42.5
11,3403992667255.327,313394920175.58386,95.6708526107072,65468247.257025614,16314765.557173247,39.05,42.5
12,3090611300643.7886,344734412193.1423,96.92663582286846,127904200.66626696,13553564.045489954,39.05,42.5
13,2745891573244.4365,379207853412.45654,95.86913417052214,60701248.12176332,14684793.790175816,39.05,42.5
14,2366698326696.0493,417128638753.7022,96.79444811632519,126809781.95251794,14606864.069211215,39.05,42.5
15,1949585728708.2534,458841502629.07245,95.60475875743556,71168291.77691865,16040765.906403366,39.05,42.5
16,1490759156847.3577,504725652891.97974,96.66226040978188,129963422.6174257,14930768.176796097,39.05,42.5
17,986048373346.5815,555198218181.1777,95.76999339061467,72027007.51003392,14869391.203594329,39.05,42.5
18,430863310916.75574,610718039999.2955,96.86054196959682,130060566.79494138,13155751.35195836,39.05,42.5
19,-179840486624.41547,488574431999.43646,95.80304031725049,66134060.24647711,14242458.124346064,39.05,42.5
20,-668401234208.9279,390859545599.5492,96.827495042961,114884059.5584041,13684414.924097948,39.05,42.5
21,-1059244946899.6194,312687636479.63934,95.53866490416392,82421949.07570499,15832908.857711783,39.05,42.5
22,-1371917463860.3557,250150109183.7115,96.56311962987442,134702066.04767954,15119518.902998649,39.05,42.5
23,-1622050829649.0833,200120087346.9692,95.43952412425645,82472929.47328442,16743394.983954933,39.05,42.5
24,-1822154554888.6614,160096069877.57538,96.43093192333113,121095761.04922292,16362107.391168434,39.05,42.5
25,-1982232549937.114,128076855902.0603,95.20819563780569,111813198.50891946,18074829.122893475,39.05,42.5
26,-2110292628008.8108,102461484721.64825,96.36483807005949,135628694.4839271,16777830.363555595,39.05,42.5
27,-2212733702930.696,81969187777.3186,95.04296100462656,83474151.80387954,20409799.763279587,39.05,42.5
28,-2294683604130.591,65575350221.85489,96.10046265697291,111642739.90778302,19286577.423196692,39.05,42.5
29,-2360237733547.7363,52460280177.48392,94.91077329808327,86281795.10308357,21220804.709247056,39.05,42.5
30,-2412679505670.209,41968224141.98714,96.16655651024455,114758594.772696,18508055.011472482,39.05,42.5
31,-2454626777183.4033,33574579313.58971,94.91077329808327,90650176.68016155,20952628.793187454,39.05,42.5
32,-2488182618245.8477,26859663450.87177,96.13350958360873,120425855.5422661,18738251.145615995,39.05,42.5
33,-2515021334177.8247,21487730760.69742,94.9438202247191,89833981.35799268,20947518.89474477,39.05,42.5
34,-2536489421305.9434,17190184608.557934,96.06741573033707,112430528.06578547,19643632.578522522,39.05,42.5
35,-2553657955114.3267,13752147686.846348,94.81163251817581,100684945.12458353,21650800.174981087,39.05,42.5
36,-2567391505673.0034,11001718149.47708,96.10046265697291,117229721.84736015,18597128.169422075,39.05,42.5
37,-2578372022455.736,8801374519.581663,94.87772637144745,102707959.79927838,21201366.744740885,39.05,42.5
38,-2587152358958.113,7041099615.665331,95.76999339061467,128050933.41597554,21038017.20438225,39.05,42.5
39,-2594171536500.369,5632879692.532265,94.67944481163252,105226814.58039011,21922073.409081418,39.05,42.5
40,-2599784169256.423,4506303754.025812,95.83608724388631,131450028.53041464,20246936.47843444,39.05,42.5
41,-2604267816813.184,3605043003.2206497,94.58030403172505,99486823.28603476,22656197.26440857,39.05,42.5
42,-2607852159238.2085,2884034402.57652,95.6708526107072,127700730.71646437,20700578.19628272,39.05,42.5
43,-2610714278096.415,2307227522.061216,94.58030403172505,108190403.31220976,21915544.370082036,39.05,42.5
44,-2613001184494.347,1845782017.6489727,95.73694646397884,140040481.0682017,20321124.129060686,39.05,42.5
45,-2614824194385.15,1476625614.1191783,94.48116325181758,105357660.22411443,22772126.845989972,39.05,42.5
46,-2616278257348.7246,1181300491.2953427,95.43952412425645,140895487.05870447,22562650.54420406,39.05,42.5
47,-2617435511010.085,945040393.0362742,94.31592861863847,106134760.9085359,24046829.93502261,39.05,42.5
48,-2618358458136.442,756032314.4290195,95.50561797752809,144258805.78318658,22093266.67915314,39.05,42.5
49,-2619091129649.0254,604825851.5432156,94.41506939854594,106411070.33304039,23360801.845479652,39.05,42.5
50,-2619674316158.724,483860681.2345725,95.57171183079973,157751159.31897998,21639341.844908305,39.05,42.5
51,-2620135436873.359,387088544.987658,94.44811632518176,113458264.46715087,22739966.59961306,39.05,42.5
52,-2620500792279.3433,309670835.99012643,95.53866490416392,141538249.81381086,21733139.003279906,39.05,42.5
