,Reserves,Yearly Public Spending,Unemployment Rate,GDP,Tax Revenue,Inflation Rate,Interest Rate
0,5439372030600.0,109843007650.0,8.4,0.0,0.0,39.05,42.5
1,5329529022950.0,120827308415.00002,100.0,0.0,0.0,39.05,42.5
2,5208707870044.939,132910039256.50003,97.97091646939465,324315515.3497104,6155509.939377763,39.05,42.5
3,5075812492212.896,146201043182.15005,95.94183293878932,34572943.33400662,14661424.456985574,39.05,42.5
4,4929630204708.769,160821147500.36508,94.79201893811296,78573132.53962699,18755678.022022374,39.05,42.5
5,4768828081811.961,176903262250.4016,94.2509299966182,98304765.28477077,19024603.557424866,39.05,42.5
6,4591942741913.304,194593588475.4418,94.2509299966182,100898056.72886413,17922351.74442281,39.05,42.5
7,4397367388095.015,214052947322.986,94.1156577612445,88696007.42527436,18234657.15300583,39.05,42.5
8,4183332928153.8613,235458242055.2846,94.28474805546162,133457616.01143903,18487381.831980936,39.05,42.5
9,3947892715640.198,259004066260.81308,94.1156577612445,105331750.94212773,18029541.621588707,39.05,42.5
10,3688906763963.7144,284904472886.8944,94.14947582008793,126357777.97756565,18114584.328966063,39.05,42.5
11,3404020305009.593,313394920175.58386,94.18329387893135,93015906.6523401,18013932.772864375,39.05,42.5
12,3090644678925.8325,344734412193.1423,94.1156577612445,142042270.2532466,19294091.8238566,39.05,42.5
13,2745929938005.6426,379207853412.45654,93.98038552587082,98799809.08384596,19671272.952310495,39.05,42.5
14,2366741381593.596,417128638753.7022,93.77747717281028,142857023.84126696,19297000.41002388,39.05,42.5
15,1949632181191.2358,458841502629.07245,94.1156577612445,92710185.12781425,19438351.341739263,39.05,42.5
16,1490813586169.2168,504725652891.97974,93.60838687859317,143369545.0829664,22907607.053455647,39.05,42.5
17,986109993992.8201,555198218181.1777,93.3378424078458,129344549.4482757,22060715.582925193,39.05,42.5
18,430933545216.34106,610718039999.2955,93.27020629015894,120508674.85056636,21769404.698724575,39.05,42.5
19,-179764214846.2281,488574431999.43646,93.40547852553264,120223135.51734823,20279936.726356294,39.05,42.5
20,-668319135383.9423,390859545599.5492,93.60838687859317,115599103.28217804,19511461.722273175,39.05,42.5
21,-1059159602576.5627,312687636479.63934,93.64220493743659,118361383.18363535,19078406.92868627,39.05,42.5
22,-1371831361776.1235,250150109183.7115,94.04802164355766,121281110.76793872,15877280.078565134,39.05,42.5
23,-1621964014124.9407,200120087346.9692,94.01420358471424,109115709.8483387,17456834.894298524,39.05,42.5
24,-1822067020893.8357,160096069877.57538,94.14947582008793,118013558.89247356,17080578.074248724,39.05,42.5
25,-1982146527918.843,128076855902.0603,94.08183970240108,105982176.71348017,16562852.568062743,39.05,42.5
26,-2110206558098.943,102461484721.64825,93.84511329049712,116237078.24255873,16825721.960173585,39.05,42.5
27,-2212649421146.94,81969187777.3186,93.43929658437605,104420842.31077458,18621673.651584893,39.05,42.5
28,-2294599568826.962,65575350221.85489,93.54075076090632,120563414.76991175,19040097.297055088,39.05,42.5
29,-2360155284286.619,52460280177.48392,93.30402434900236,118732299.42246991,19634762.19777866,39.05,42.5
30,-2412595843127.9736,41968224141.98714,93.23638823131553,142233894.32204995,19721336.1294478,39.05,42.5
31,-2454542539774.286,33574579313.58971,92.83057152519444,126691259.70117408,21527495.67467873,39.05,42.5
32,-2488092983393.441,26859663450.87177,92.32330064254312,129044726.52230054,24135694.43500051,39.05,42.5
33,-2514929548784.1143,21487730760.69742,92.25566452485627,127639729.63402751,23098060.19837345,39.05,42.5
34,-2536395361007.384,17190184608.557934,92.72911734866419,136968375.11166453,21918537.42789053,39.05,42.5
35,-2553563966534.586,13752147686.846348,92.66148123097734,120970936.56654267,21579081.3559412,39.05,42.5
36,-2567292856661.104,11001718149.47708,92.69529928982077,145487559.46937585,23257560.328168385,39.05,42.5
37,-2578272877360.7764,8801374519.581663,92.79675346635103,118718733.89068285,21697449.804451983,39.05,42.5
38,-2587054284469.6636,7041099615.665331,93.27020629015894,137182481.45523003,19967410.694106415,39.05,42.5
39,-2594073245018.482,5632879692.532265,92.86438958403788,116216675.49618384,22139066.84735561,39.05,42.5
40,-2599682662515.8228,4506303754.025812,92.72911734866419,150071062.0766714,23462195.191212945,39.05,42.5
41,-2604165781678.1484,3605043003.2206497,92.62766317213392,129137097.89503814,23184591.700161222,39.05,42.5
42,-2607747816021.226,2884034402.57652,92.76293540750761,168478411.393448,23008660.143023912,39.05,42.5
43,-2610608935078.882,2307227522.061216,92.56002705444708,129148965.41610764,22915344.920970745,39.05,42.5
44,-2612891732112.1016,1845782017.6489727,92.49239093676023,168617084.29457542,24430488.84112715,39.05,42.5
45,-2614713124880.693,1476625614.1191783,92.22184646601285,137033021.34431145,24389249.057522576,39.05,42.5
46,-2616165810918.99,1181300491.2953427,92.45857287791681,166296015.47414988,23939575.821593355,39.05,42.5
47,-2617323223383.3716,945040393.0362742,92.154210348326,126702588.27020824,23888026.91390896,39.05,42.5
48,-2618243237639.661,756032314.4290195,92.32330064254312,152062166.37153214,25026136.746743392,39.05,42.5
49,-2618973088901.358,604825851.5432156,91.98512005410889,137930310.8838722,26181052.7323717,39.05,42.5
50,-2619551093178.5327,483860681.2345725,92.18802840716943,163370548.32701457,26821574.368838042,39.05,42.5
51,-2620007892742.629,387088544.987658,91.84984781873521,145115702.599801,27061117.138003208,39.05,42.5
52,-2620368917283.6016,309670835.99012643,92.22184646601285,170786603.36229998,26064004.015122846,39.05,42.5
