,Reserves,Yearly Public Spending,Unemployment Rate,GDP,Tax Revenue,Inflation Rate,Interest Rate
0,5439372030600.0,109843007650.0,8.4,0.0,0.0,39.05,42.5
1,5329529022950.0,120827308415.00002,100.0,0.0,0.0,39.05,42.5
2,5208708044670.332,132910039256.50003,97.99263967882234,366705745.86503595,6330135.332443915,39.05,42.5
3,5075813128463.967,146201043182.15005,95.98527935764469,37551106.386412024,15123050.134676086,39.05,42.5
4,4929629914577.604,160821147500.36508,95.18233522917363,0.0,17829295.787393454,39.05,42.5
5,4768824104835.209,176903262250.4016,95.85145533623285,21342271.144170836,15337757.97092818,39.05,42.5
6,4591937241417.707,194593588475.4418,95.58380729340917,66420650.50826503,16398832.899402946,39.05,42.5
7,4397363041003.2017,214052947322.986,94.4463031114085,82419775.14965986,19388060.936293874,39.05,42.5
8,4183329733234.1177,235458242055.2846,94.24556707929074,120215410.6784893,19639553.901964,39.05,42.5
9,3947893389761.213,259004066260.81308,93.6768149882904,101802194.91975214,21898582.380108494,39.05,42.5
10,3688910201486.2817,284904472886.8944,93.57644697223152,120199105.93482727,20877985.88174259,39.05,42.5
11,3404026648723.4683,313394920175.58386,93.34225493476079,64997800.087302804,20920124.081003603,39.05,42.5
12,3090652985424.3394,344734412193.1423,93.30879892940783,70309920.7163884,21256876.45522838,39.05,42.5
13,2745938807629.0005,379207853412.45654,93.24188691870191,34385314.773720086,20234397.803211667,39.05,42.5
14,2366750299166.8193,417128638753.7022,93.44262295081968,48791855.39371932,19344950.2755897,39.05,42.5
15,1949643803109.1826,458841502629.07245,93.04115088658415,35687227.4206405,22142696.065603305,39.05,42.5
16,1490822178660.7556,504725652891.97974,93.34225493476079,41220805.41862001,19878180.645468127,39.05,42.5
17,986118050815.5205,555198218181.1777,93.14151890264303,26478832.89183462,21525046.74469482,39.05,42.5
18,430940710945.51245,610718039999.2955,93.37571094011375,46211511.96753888,20878311.169670086,39.05,42.5
19,-179754937470.4124,488574431999.43646,93.00769488123119,42315558.815641545,22391583.37066292,39.05,42.5
20,-668306441045.7686,390859545599.5492,93.30879892940783,50955868.935213745,22928424.080303494,39.05,42.5
21,-1059141115960.1384,312687636479.63934,92.70659083305453,38594145.01842514,24870685.179374643,39.05,42.5
22,-1371803538018.2126,250150109183.7115,92.84041485446637,37992140.74142882,25214421.565147318,39.05,42.5
23,-1621925922859.6663,200120087346.9692,92.4054867848779,33414634.897909395,27724342.257921115,39.05,42.5
24,-1822018058138.862,160096069877.57538,92.50585480093677,33890139.23988255,27952067.773375712,39.05,42.5
25,-1982083730245.1362,128076855902.0603,92.03747072599532,21085397.944732826,30397771.301241435,39.05,42.5
26,-2110130454596.6882,102461484721.64825,92.17129474740716,30129223.774795562,30131550.508328047,39.05,42.5
27,-2212558290562.3604,81969187777.3186,91.30143860823019,25056889.796023145,33648755.97606336,39.05,42.5
28,-2294493645899.8994,65575350221.85489,91.23452659752425,33005645.305908125,33832439.77915078,39.05,42.5
29,-2360032579436.9556,52460280177.48392,90.49849447975912,42357536.78073172,36416684.798652984,39.05,42.5
30,-2412459746881.4688,41968224141.98714,91.03379056540649,53545681.35843829,33112732.970548462,39.05,42.5
31,-2454392782232.8403,33574579313.58971,90.49849447975912,44900829.75921543,35188790.61569916,39.05,42.5
32,-2487930901251.448,26859663450.87177,90.598862495818,51995046.2966606,36460294.98176972,39.05,42.5
33,-2514750251126.578,21487730760.69742,89.66209434593509,39045017.99082037,40313575.74155593,39.05,42.5
34,-2536197455478.3994,17190184608.557934,89.59518233522917,59726823.08376676,40526408.87617797,39.05,42.5
35,-2553344974843.164,13752147686.846348,89.02643024422883,55409861.774520226,42665243.793437295,39.05,42.5
36,-2567054118044.838,11001718149.47708,89.16025426564069,64514518.16846305,43004485.17253372,39.05,42.5
37,-2578011861010.304,8801374519.581663,88.69187019069923,53209299.605541244,43975184.01086509,39.05,42.5
38,-2586766439094.78,7041099615.665331,88.32385413181666,66177860.281255454,46796435.105860814,39.05,42.5
39,-2593759086753.158,5632879692.532265,87.72164603546337,47731278.843720205,48451957.286937766,39.05,42.5
40,-2599342020522.62,4506303754.025812,87.65473402475745,65557585.13008607,49945923.07034863,39.05,42.5
41,-2603798515750.52,3605043003.2206497,87.42054198728671,52560762.11745098,49808526.12584028,39.05,42.5
42,-2607352576062.9263,2884034402.57652,87.21980595516895,57304612.216575734,50982690.81447198,39.05,42.5
43,-2610183176963.13,2307227522.061216,86.71796587487454,62298439.210396156,53433502.373283885,39.05,42.5
44,-2612437193836.1104,1845782017.6489727,86.7514218802275,82662434.80363178,53210649.080656566,39.05,42.5
45,-2614225124216.5615,1476625614.1191783,85.88156574105051,59792414.659077525,57851637.19789702,39.05,42.5
46,-2615642346498.5205,1181300491.2953427,85.58046169287387,61077891.22881697,59403332.16011567,39.05,42.5
47,-2616761335525.9824,945040393.0362742,85.01170960187353,52788711.47824739,62311463.83340783,39.05,42.5
48,-2617641665692.7935,756032314.4290195,84.40950150552024,75028520.15568557,64710226.224884756,39.05,42.5
49,-2618329359478.3247,604825851.5432156,83.6734693877551,62919952.91018184,68338528.89802967,39.05,42.5
50,-2618865694894.423,483860681.2345725,83.47273335563735,70332798.94855994,68490435.44555578,39.05,42.5
51,-2619277431208.006,387088544.987658,82.63633322181332,73152266.97474143,72124367.6514954,39.05,42.5
52,-2619590415377.634,309670835.99012643,82.10103713616594,82249161.20861816,74104375.35983488,39.05,42.5
