Step,AgentID,FirmType,Profit,Inventory,ProductPrice,RevenuePerEmployee,ProductionLevel,NumEmployees,DemandReceived,InventoryDemandRatio,SellThroughRate,ProductionCapacity,Revenue,Costs,Markup,ProducedUnits,IncomeBracket,NumPeople,SpendRatio,PostTaxIncome,HouseholdExpense,HouseholdSavings,HealthLevel,Welfare,SkillLevel,SkillType,JobLevel,IsEmployed,Wage
1,2,necessity,0.0,636.2,3.1500517146430957,0.0,0.7693703289934889,59.0,0.0,,,6362.0,0.0,0.0,0.12,0.0,,,,,,,,,,,,0,
1,3,necessity,0.0,478.70000000000005,3.1511822224946076,0.0,0.7750044004860136,115.0,0.0,,,4787.0,0.0,0.0,0.12,0.0,,,,,,,,,,,,0,
1,4,necessity,0.0,743.6,3.4291068128790814,0.0,0.8022844161075383,63.0,0.0,,,7436.0,0.0,0.0,0.12,0.0,,,,,,,,,,,,0,
1,5,necessity,0.0,693.3000000000001,3.1732077943122863,0.0,0.7711004957662071,115.0,0.0,,,6933.0,0.0,0.0,0.12,0.0,,,,,,,,,,,,0,
1,6,necessity,0.0,600.2,2.849533920016673,0.0,0.764656754152657,116.0,0.0,,,6002.0,0.0,0.0,0.12,0.0,,,,,,,,,,,,0,
1,7,necessity,0.0,680.6,2.779620088998071,0.0,0.9634806056608696,86.0,0.0,,,6806.0,0.0,0.0,0.12,0.0,,,,,,,,,,,,0,
1,8,necessity,0.0,543.6,3.2955809658874506,0.0,0.9037713774698559,45.0,0.0,,,5436.0,0.0,0.0,0.12,0.0,,,,,,,,,,,,0,
1,9,necessity,0.0,633.2,3.809011862230685,0.0,0.9320088069635147,111.0,0.0,,,6332.0,0.0,0.0,0.12,0.0,,,,,,,,,,,,0,
1,10,necessity,0.0,504.5,2.5997205296045838,0.0,0.7493314005848417,60.0,0.0,,,5045.0,0.0,0.0,0.12,0.0,,,,,,,,,,,,0,
1,11,necessity,0.0,718.3000000000001,2.9981704427549474,0.0,0.7578763316085363,36.0,0.0,,,7183.0,0.0,0.0,0.12,0.0,,,,,,,,,,,,0,
1,12,necessity,0.0,750.8000000000001,3.3648634510823268,0.0,0.91852177380727,53.0,0.0,,,7508.0,0.0,0.0,0.12,0.0,,,,,,,,,,,,0,
1,13,necessity,0.0,597.6,3.3235646903653597,0.0,0.7053664269533652,106.0,0.0,,,5976.0,0.0,0.0,0.12,0.0,,,,,,,,,,,,0,
1,14,necessity,0.0,651.3000000000001,2.33474197181299,0.0,0.9033202878404518,33.0,0.0,,,6513.0,0.0,0.0,0.12,0.0,,,,,,,,,,,,0,
1,15,necessity,0.0,452.3,2.128808299178929,0.0,0.9908203457160873,34.0,0.0,,,4523.0,0.0,0.0,0.12,0.0,,,,,,,,,,,,0,
1,16,necessity,0.0,730.3000000000001,3.3336001953935095,0.0,0.7291499903187881,30.0,0.0,,,7303.0,0.0,0.0,0.12,0.0,,,,,,,,,,,,0,
1,17,necessity,0.0,668.4000000000001,3.7134888335949525,0.0,0.6481726540395607,26.0,0.0,,,6684.0,0.0,0.0,0.09,0.0,,,,,,,,,,,,0,
1,18,necessity,0.0,624.0,1.6785394703285663,0.0,0.6051205847546425,30.0,0.0,,,6240.0,0.0,0.0,0.09,0.0,,,,,,,,,,,,0,
1,19,necessity,0.0,581.2,2.0763822150938887,0.0,0.830693203325344,42.0,0.0,,,5812.0,0.0,0.0,0.09,0.0,,,,,,,,,,,,0,
1,20,necessity,0.0,414.5,1.6412782470909628,0.0,0.8895666129111247,36.0,0.0,,,4145.0,0.0,0.0,0.09,0.0,,,,,,,,,,,,0,
1,21,necessity,0.0,473.70000000000005,1.8173933986804585,0.0,0.8488699084815061,25.0,0.0,,,4737.0,0.0,0.0,0.09,0.0,,,,,,,,,,,,0,
1,22,necessity,0.0,686.2,2.400299734561544,0.0,0.6165345512102361,20.0,0.0,,,6862.0,0.0,0.0,0.09,0.0,,,,,,,,,,,,0,
1,23,necessity,0.0,519.9,1.9072932033704846,0.0,0.7177577537770062,15.0,0.0,,,5199.0,0.0,0.0,0.09,0.0,,,,,,,,,,,,0,
1,24,necessity,0.0,346.5,2.79917374690692,0.0,0.6743119224358303,46.0,0.0,,,3465.0,0.0,0.0,0.09,0.0,,,,,,,,,,,,0,
1,25,necessity,0.0,479.5,2.770905429536137,0.0,0.7163441103673072,38.0,0.0,,,4795.0,0.0,0.0,0.09,0.0,,,,,,,,,,,,0,
1,26,necessity,0.0,554.2,2.8150411016748715,0.0,0.7549687295701,48.0,0.0,,,5542.0,0.0,0.0,0.09,0.0,,,,,,,,,,,,0,
