,Reserves,Yearly Public Spending,Unemployment Rate,GDP,Tax Revenue,Inflation Rate,Interest Rate
0,5439372030600.0,109843007650.0,8.4,0.0,0.0,39.05,42.5
1,5329529022950.0,120827308415.00002,100.0,0.0,0.0,39.05,42.5
2,5208708150509.987,132910039256.50003,97.93459552495698,380299391.99374753,6435974.987647348,39.05,42.5
3,5075813173531.682,146201043182.15005,95.86919104991394,37667745.38534514,15062278.194051934,39.05,42.5
4,4929631845388.923,160821147500.36508,94.83648881239243,84563836.52629626,19715039.39201482,39.05,42.5
5,4768829893759.484,176903262250.4016,94.49225473321859,105403242.80559646,19195870.926858366,39.05,42.5
6,4591945487995.19,194593588475.4418,94.42340791738381,103901622.78650044,18856486.107894853,39.05,42.5
7,4397371449683.0034,214052947322.986,94.62994836488812,94051522.13350256,19550163.254661046,39.05,42.5
8,4183337440471.354,235458242055.2846,94.32013769363166,119007047.84327665,18938111.336207945,39.05,42.5
9,3947897455349.717,259004066260.81308,94.35456110154905,95418207.61423504,18256933.64723851,39.05,42.5
10,3688912539056.59,284904472886.8944,94.28571428571428,103578633.90095887,19149967.685933564,39.05,42.5
11,3404026541521.7695,313394920175.58386,94.28571428571428,103994323.71565059,18475352.074044053,39.05,42.5
12,3090649993831.6973,344734412193.1423,94.38898450946644,100263836.28845142,18372485.51193448,39.05,42.5
13,2745935435255.0938,379207853412.45654,94.14802065404476,107052139.57270603,19853616.538501807,39.05,42.5
14,2366747002917.9634,417128638753.7022,94.28571428571428,118596908.5279937,19421075.326208077,39.05,42.5
15,1949638876634.3975,458841502629.07245,94.07917383820998,119581878.09289695,20512470.13617079,39.05,42.5
16,1490818374019.2156,504725652891.97974,94.14802065404476,115848841.44250791,21000013.890593443,39.05,42.5
17,986113817631.5908,555198218181.1777,93.94148020654045,116754480.08841568,21096504.35509198,39.05,42.5
18,430937820633.0156,610718039999.2955,93.87263339070569,111390107.57817143,22221182.60259135,39.05,42.5
19,-179758795280.71185,488574431999.43646,93.66609294320138,114238782.44400539,21424085.568063647,39.05,42.5
20,-668311892440.1206,390859545599.5492,93.66609294320138,143903371.04310617,21334840.027648132,39.05,42.5
21,-1059150985121.37,312687636479.63934,93.63166953528399,103881926.76270366,20452918.299842816,39.05,42.5
22,-1371819790844.7104,250150109183.7115,93.87263339070569,147607616.39039066,18830756.2989654,39.05,42.5
23,-1621951470186.4414,200120087346.9692,94.01032702237522,93854995.81105796,18429841.980351686,39.05,42.5
24,-1822050381430.9265,160096069877.57538,93.94148020654045,162838692.3110128,21176102.48409469,39.05,42.5
25,-1982125116016.6223,128076855902.0603,93.35628227194492,119711382.65653859,21335291.879559193,39.05,42.5
26,-2110181814064.3337,102461484721.64825,93.45955249569707,172148115.5457102,20157854.348956622,39.05,42.5
27,-2212623156617.4175,81969187777.3186,93.35628227194492,106965335.90170988,20142168.56466281,39.05,42.5
28,-2294570019939.3223,65575350221.85489,93.32185886402755,157639477.42506775,22324455.413847353,39.05,42.5
29,-2360125657313.062,52460280177.48392,93.4251290877797,122609663.86258152,19712848.115351852,39.05,42.5
30,-2412566762219.2744,41968224141.98714,93.80378657487091,142665641.0647948,19175271.271482356,39.05,42.5
31,-2454516052257.051,33574579313.58971,93.76936316695353,113499395.34235662,18934104.210766036,39.05,42.5
32,-2488073373419.729,26859663450.87177,93.94148020654045,157073553.9700698,17258150.911811102,39.05,42.5
33,-2514914476366.247,21487730760.69742,93.76936316695353,105112874.85971665,18560504.353713136,39.05,42.5
34,-2536383273654.311,17190184608.557934,93.8382099827883,167203527.62789592,18933472.633252315,39.05,42.5
35,-2553552869249.146,13752147686.846348,93.4251290877797,106746919.38765562,20589013.723093357,39.05,42.5
36,-2567282717562.761,11001718149.47708,93.45955249569707,160085802.1833277,22299373.230790365,39.05,42.5
37,-2578260564013.374,8801374519.581663,92.94320137693632,114878937.00248754,23871698.864157934,39.05,42.5
38,-2587038891830.202,7041099615.665331,92.9776247848537,178256148.74384055,23046702.753638513,39.05,42.5
39,-2594057181383.1406,5632879692.532265,92.73666092943202,122592199.6463552,22810062.727202084,39.05,42.5
40,-2599666347476.0396,4506303754.025812,92.70223752151463,160668654.412654,23713599.633120548,39.05,42.5
41,-2604149660366.7183,3605043003.2206497,92.49569707401034,116153655.93718241,22990863.34707596,39.05,42.5
42,-2607731891653.197,2884034402.57652,92.59896729776248,174807675.4838126,22811716.741944596,39.05,42.5
43,-2610594941662.856,2307227522.061216,92.3580034423408,120576005.47782628,20984392.917463243,39.05,42.5
44,-2612880077504.603,1845782017.6489727,92.49569707401034,162432358.16010213,22091680.314189598,39.05,42.5
45,-2614703243319.709,1476625614.1191783,92.22030981067125,116136639.21363133,22616202.543072652,39.05,42.5
46,-2616154295933.37,1181300491.2953427,92.01376936316696,153011169.38041785,25573000.457960784,39.05,42.5
47,-2617310001132.7373,945040393.0362742,91.87607573149742,129630973.47353953,25595291.928372853,39.05,42.5
48,-2618229925929.5776,756032314.4290195,92.08261617900172,161133522.79410258,25115596.19563902,39.05,42.5
49,-2618961067522.936,604825851.5432156,91.94492254733218,120189961.37441434,24890721.07068456,39.05,42.5
50,-2619540995257.638,483860681.2345725,91.94492254733218,159330414.47080064,24898116.841457814,39.05,42.5
51,-2620001022941.6514,387088544.987658,92.01376936316696,121184958.28632525,23832997.220952548,39.05,42.5
52,-2620363688241.386,309670835.99012643,92.18588640275387,168337100.7674073,24423245.253094226,39.05,42.5
