,Reserves,Yearly Public Spending,Unemployment Rate,GDP,Tax Revenue,Inflation Rate,Interest Rate
0,5439372030600.0,109843007650.0,8.4,0.0,0.0,39.05,42.5
1,5329529022950.0,120827308415.00002,100.0,0.0,0.0,39.05,42.5
2,5208708271978.203,132910039256.50003,99.01169494317246,363156249.3344742,6557443.203280438,39.05,42.5
3,5075813688974.283,146201043182.15005,98.02338988634492,37827963.28713876,15456252.579662109,39.05,42.5
4,4929633382731.829,160821147500.36508,97.4962938560369,86050239.37812479,20736939.69604072,39.05,42.5
5,4768832259423.311,176903262250.4016,97.13391533520013,108820566.96817364,20024191.846655846,39.05,42.5
6,4591949980333.1045,194593588475.4418,96.93625432383463,107760678.89568293,20983160.195782844,39.05,42.5
7,4397377280771.929,214052947322.986,97.00214132762312,105166687.04688685,20888914.26636564,39.05,42.5
8,4183343805894.7983,235458242055.2846,96.9197825728875,117111562.7738907,19472445.85487382,39.05,42.5
9,3947906534155.034,259004066260.81308,96.90331082194037,98616796.32873702,20970315.520432264,39.05,42.5
10,3688925941501.158,284904472886.8944,96.68917805962774,106897679.63979617,23473606.936949518,39.05,42.5
11,3404043802004.7754,313394920175.58386,96.75506506341624,111613933.80097516,22333390.511653047,39.05,42.5
12,3090669366529.9014,344734412193.1423,96.82095206720474,109361638.89527048,20484700.70981596,39.05,42.5
13,2745955660807.9927,379207853412.45654,96.90331082194037,99276681.15615052,20706471.233228866,39.05,42.5
14,2366767897561.869,417128638753.7022,96.95272607478175,108403476.87380221,20090166.33300825,39.05,42.5
15,1949660208434.25,458841502629.07245,97.0515565804645,97096164.75318609,20949626.082872946,39.05,42.5
16,1490841338834.8435,504725652891.97974,96.75506506341624,119254235.35309896,22633029.666036855,39.05,42.5
17,986135040102.5688,555198218181.1777,96.93625432383463,112510125.63060614,19354159.705096867,39.05,42.5
18,430956678519.8895,610718039999.2955,96.95272607478175,116578449.46232942,19856598.498379186,39.05,42.5
19,-179741987329.26392,488574431999.43646,97.0515565804645,109164665.56801005,19374150.142113507,39.05,42.5
20,-668297219354.2911,390859545599.5492,97.15038708614726,111803510.8559547,19199974.40922915,39.05,42.5
21,-1059136680084.5354,312687636479.63934,97.11744358425301,99686189.58943485,20084869.304970957,39.05,42.5
22,-1371804165679.7285,250150109183.7115,96.95272607478175,126526696.43573563,20150884.446239546,39.05,42.5
23,-1621934786113.939,200120087346.9692,97.15038708614726,104080908.02043673,19488749.50090367,39.05,42.5
24,-1822035415465.2104,160096069877.57538,97.13391533520013,133842076.0815169,19457995.69763518,39.05,42.5
25,-1982112351164.2283,128076855902.0603,97.19980233898863,112955840.87100446,19134178.55752312,39.05,42.5
26,-2110169452553.336,102461484721.64825,97.13391533520013,134719556.05369285,19754512.952692617,39.05,42.5
27,-2212610726455.203,81969187777.3186,97.11744358425301,124942551.10169435,20210819.78112534,39.05,42.5
28,-2294559439468.5186,65575350221.85489,97.13391533520013,123865115.1140759,20474764.00364693,39.05,42.5
29,-2360115485008.178,52460280177.48392,97.1833305880415,120902099.2752949,19304682.195261523,39.05,42.5
30,-2412554667644.226,41968224141.98714,97.0515565804645,122303824.41258277,21097541.435939748,39.05,42.5
31,-2454500675281.511,33574579313.58971,96.985669576676,118987170.95440997,22216504.702083677,39.05,42.5
32,-2488051352079.117,26859663450.87177,96.90331082194037,121041773.07592614,23902515.983945016,39.05,42.5
33,-2514886753362.6606,21487730760.69742,96.82095206720474,128853766.07256521,24262167.32796648,39.05,42.5
34,-2536352100637.42,17190184608.557934,96.96919782572887,151457410.54910684,22383485.93809819,39.05,42.5
35,-2553520735404.073,13752147686.846348,97.00214132762312,110175329.3130811,21549841.90471239,39.05,42.5
36,-2567250465722.0186,11001718149.47708,96.90331082194037,141632158.7971043,22417368.90107094,39.05,42.5
37,-2578229940184.3555,8801374519.581663,96.96919782572887,106055366.63388917,22243687.140028447,39.05,42.5
38,-2587008834578.2373,7041099615.665331,96.88683907099325,143401244.86267674,22480125.69950313,39.05,42.5
39,-2594028469099.8223,5632879692.532265,96.90331082194037,139047556.01619938,21465094.080362685,39.05,42.5
40,-2599639721589.6523,4506303754.025812,96.90331082194037,127917533.66664824,21627202.701971322,39.05,42.5
41,-2604123619010.4165,3605043003.2206497,96.88683907099325,112009621.13486357,22406333.261566423,39.05,42.5
42,-2607707473168.232,2884034402.57652,96.82095206720474,125482480.53013872,21188845.40530941,39.05,42.5
43,-2610569962052.72,2307227522.061216,96.88683907099325,113852941.8278956,21545518.088609956,39.05,42.5
44,-2612853464880.9824,1845782017.6489727,96.63976280678636,120176702.27528402,23724693.79872205,39.05,42.5
45,-2614677657782.5293,1476625614.1191783,96.82095206720474,118224250.2678509,21589116.101888098,39.05,42.5
46,-2616134438748.0605,1181300491.2953427,96.83742381815186,119279432.61106566,19844648.58789102,39.05,42.5
47,-2617296180765.723,945040393.0362742,97.01861307857025,102353302.77840006,19558473.632718734,39.05,42.5
48,-2618220446651.4697,756032314.4290195,96.95272607478175,112165363.18419625,20774507.289536156,39.05,42.5
49,-2618955868095.655,604825851.5432156,97.06802833141163,109503812.66072042,20610870.244235087,39.05,42.5
50,-2619539647758.6997,483860681.2345725,96.88683907099325,124958847.61507854,21046188.498659644,39.05,42.5
51,-2620002756050.726,387088544.987658,97.11744358425301,112594766.74065149,20752389.20814851,39.05,42.5
52,-2620368713841.682,309670835.99012643,96.88683907099325,138235344.84271196,21130754.031504832,39.05,42.5
