,Reserves,Yearly Public Spending,Unemployment Rate,GDP,Tax Revenue,Inflation Rate,Interest Rate
0,5439372030600.0,109843007650.0,8.4,0.0,0.0,39.05,42.5
1,5329529022950.0,120827308415.00002,100.0,0.0,0.0,39.05,42.5
2,5208707724026.937,132910039256.50003,98.99949974987494,354173882.3572402,6009491.936974944,39.05,42.5
3,5075812084436.17,146201043182.15005,97.99899949974987,36704648.11576715,14399665.733477918,39.05,42.5
4,4929628697360.16,160821147500.36508,97.56544939136235,0.0,17656106.14076193,39.05,42.5
5,4768822188467.335,176903262250.4016,97.96564949141238,8706229.948570719,14638607.539760245,39.05,42.5
6,4591934153265.745,194593588475.4418,97.93229948307487,68634149.63363208,15227048.811722444,39.05,42.5
7,4397357785549.0513,214052947322.986,97.46539936634984,80841229.41263211,17220758.747894477,39.05,42.5
8,4183320795474.1406,235458242055.2846,97.5154243788561,117711044.38852476,15957248.07540104,39.05,42.5
9,3947879483429.0415,259004066260.81308,97.3820243455061,82884943.62876615,16930010.185789056,39.05,42.5
10,3688891472614.7344,284904472886.8944,97.49874937468735,92641023.08283406,16055446.505926332,39.05,42.5
11,3404003560800.8213,313394920175.58386,97.29864932466234,42039788.74905656,16561072.981403088,39.05,42.5
12,3090625028146.7373,344734412193.1423,97.3820243455061,63259608.16398786,16387521.499816481,39.05,42.5
13,2745908812313.933,379207853412.45654,97.24862431215607,24013057.63509279,18196360.337674603,39.05,42.5
14,2366718762477.907,417128638753.7022,97.28197432049357,67420589.70516713,17803576.430474527,39.05,42.5
15,1949609610542.3477,458841502629.07245,97.06519926629981,24941991.368942097,19486818.14260687,39.05,42.5
16,1490787931130.234,504725652891.97974,97.0985492746373,41119436.13576895,19823216.95868688,39.05,42.5
17,986082476638.4382,555198218181.1777,97.06519926629981,28125040.620194588,20198400.184118014,39.05,42.5
18,430903774454.5078,610718039999.2955,97.11522427880607,69997720.9791701,19515997.24729656,39.05,42.5
19,-179793247185.73834,488574431999.43646,96.98182424545607,66189106.12832867,21018359.049395192,39.05,42.5
20,-668349535386.8872,390859545599.5492,97.19859929964983,57361733.489603765,18143798.287564754,39.05,42.5
21,-1059189646577.8115,312687636479.63934,97.13189928297481,38752789.14461239,19434408.624824706,39.05,42.5
22,-1371857130178.537,250150109183.7115,97.24862431215607,45641283.900335625,20152878.913798045,39.05,42.5
23,-1621985403125.8083,200120087346.9692,97.0318492579623,56564492.82579252,21836236.440304343,39.05,42.5
24,-1822082560463.3328,160096069877.57538,97.08187427046857,54482373.38869115,22930009.444859818,39.05,42.5
25,-1982153121217.0386,128076855902.0603,96.76504919126229,41562489.8760634,25509123.869738862,39.05,42.5
26,-2110204545807.9106,102461484721.64825,96.73169918292479,49360931.397993654,25431311.188111078,39.05,42.5
27,-2212639288013.2065,81969187777.3186,96.56494914123729,41931627.93833365,26742516.352372676,39.05,42.5
28,-2294579968318.7227,65575350221.85489,96.53159913289979,47062608.38964438,28507471.802541133,39.05,42.5
29,-2360122844453.442,52460280177.48392,96.16474904118726,30540939.251041837,32474087.13565903,39.05,42.5
30,-2412551344036.151,41968224141.98714,96.13139903284976,51384317.871249825,31780594.774952948,39.05,42.5
31,-2454486028768.766,33574579313.58971,95.93129898282474,30168934.54338371,33539409.37197311,39.05,42.5
32,-2488026096477.1255,26859663450.87177,95.88127397031849,65263152.44965543,34511605.23066265,39.05,42.5
33,-2514850162516.2886,21487730760.69742,95.78122394530598,33557047.497825645,35597411.70829147,39.05,42.5
34,-2536301030292.1436,17190184608.557934,95.73119893279973,56430992.64986538,36862984.842463054,39.05,42.5
35,-2553451924864.7856,13752147686.846348,95.46439886609971,35033612.148516275,39290035.916200005,39.05,42.5
36,-2567162771656.1934,11001718149.47708,95.3643488410872,52473965.500538506,41300895.438331954,39.05,42.5
37,-2578120889320.209,8801374519.581663,94.98082374520594,36156517.601782896,43600485.46140847,39.05,42.5
38,-2586877859087.655,7041099615.665331,94.94747373686843,45238807.43780862,44404752.13591504,39.05,42.5
39,-2593872367599.2017,5632879692.532265,94.71402367850592,35467011.741933055,46591104.11854173,39.05,42.5
40,-2599456331715.9546,4506303754.025812,94.61397365349342,44682537.34396416,48915575.779443905,39.05,42.5
41,-2603913352623.3564,3605043003.2206497,94.3805235951309,43566189.35997013,49282846.623791344,39.05,42.5
42,-2607468894222.838,2884034402.57652,94.51392362848091,59396487.18208826,49501403.739106536,39.05,42.5
43,-2610300968286.7305,2307227522.061216,94.11372352843088,63134783.74951332,51960338.68417809,39.05,42.5
44,-2612556166849.202,1845782017.6489727,94.24712356178088,77352582.30278818,52028959.58954417,39.05,42.5
45,-2614348840600.224,1476625614.1191783,93.98032349508088,44413421.46709164,53108266.627131075,39.05,42.5
46,-2615771124927.4497,1181300491.2953427,94.06369851592463,63592922.74038069,54341286.89344472,39.05,42.5
47,-2616895090411.243,945040393.0362742,93.6968484242121,70956672.110888,57335007.5020156,39.05,42.5
48,-2617782974880.7686,756032314.4290195,93.7635484408871,60439499.19781418,57155923.510684155,39.05,42.5
49,-2618477923016.903,604825851.5432156,93.29664832416208,69052057.16061889,61084178.2948742,39.05,42.5
50,-2619020965519.4326,483860681.2345725,93.26329831582458,74672892.38703832,61783349.01343061,39.05,42.5
51,-2619439802915.0083,387088544.987658,92.89644822411206,81266324.52895792,65023285.65877856,39.05,42.5
52,-2619760504001.331,309670835.99012643,92.89644822411206,55470542.957880236,66387458.664974205,39.05,42.5
