,Reserves,Yearly Public Spending,Unemployment Rate,GDP,Tax Revenue,Inflation Rate,Interest Rate
0,5439372030600.0,109843007650.0,8.4,0.0,0.0,39.05,42.5
1,5329529022950.0,120827308415.00002,100.0,0.0,0.0,39.05,42.5
2,5208708190988.334,132910039256.50003,98.00664451827242,392525217.12380654,6476453.33391293,39.05,42.5
3,5075813383486.207,146201043182.15005,96.01328903654485,38001091.38414014,15231754.37300771,39.05,42.5
4,4929632162664.164,160821147500.36508,95.01661129568106,0.0,19822360.107864916,39.05,42.5
5,4768826130262.612,176903262250.4016,95.81395348837209,19290798.99188067,15115098.813058598,39.05,42.5
6,4591936532317.397,194593588475.4418,95.74750830564784,77832080.57835443,13664305.186438918,39.05,42.5
7,4397359814379.6606,214052947322.986,94.95016611295681,69106862.78771518,16870537.7053906,39.05,42.5
8,4183324469243.0054,235458242055.2846,94.6843853820598,107664819.54347423,17602186.330366053,39.05,42.5
9,3947884084544.3706,259004066260.81308,94.48504983388705,94450272.49877708,17857356.649704248,39.05,42.5
10,3688895968596.2896,284904472886.8944,94.78405315614617,90907379.16315214,15950312.731927032,39.05,42.5
11,3404007449629.872,313394920175.58386,94.75083056478405,55804135.775783345,15953920.476933958,39.05,42.5
12,3090626693004.401,344734412193.1423,95.08305647840531,48255263.25308346,14163550.112886244,39.05,42.5
13,2745906571506.9697,379207853412.45654,95.11627906976744,24661876.14338085,14290695.711133752,39.05,42.5
14,2366713839882.363,417128638753.7022,94.91694352159469,35557583.81335332,15121787.849527018,39.05,42.5
15,1949603087754.7686,458841502629.07245,94.35215946843853,30800382.111262497,17886626.107675657,39.05,42.5
16,1490779458754.7368,504725652891.97974,94.35215946843853,46550714.135052994,17873629.04074217,39.05,42.5
17,986074996109.7527,555198218181.1777,93.421926910299,26365614.182466183,21190246.99560941,39.05,42.5
18,430896731314.72766,610718039999.2955,93.52159468438538,44896399.23791904,19953386.152676035,39.05,42.5
19,-179801019255.64258,488574431999.43646,93.32225913621262,36362473.866622716,20289428.925303627,39.05,42.5
20,-668356061944.9376,390859545599.5492,93.421926910299,47483390.22969196,19389310.14142469,39.05,42.5
21,-1059195469691.271,312687636479.63934,93.25581395348837,34764997.87911045,20137853.21576048,39.05,42.5
22,-1371862919507.2195,250150109183.7115,93.35548172757476,37300522.744685724,20186663.69082305,39.05,42.5
23,-1621989644686.8972,200120087346.9692,92.85714285714286,43073498.775314145,23384004.033635486,39.05,42.5
24,-1822085516706.3662,160096069877.57538,92.62458471760797,68489913.36689878,24215327.50016799,39.05,42.5
25,-1982155823455.2466,128076855902.0603,92.22591362126245,40331489.09112901,25763128.69501789,39.05,42.5
26,-2110205394771.318,102461484721.64825,92.15946843853821,55820736.718290314,27284585.988648605,39.05,42.5
27,-2212636115953.0654,81969187777.3186,91.49501661129568,42995641.1964668,30763539.90114022,39.05,42.5
28,-2294574928328.0713,65575350221.85489,91.56146179401993,65412179.07728764,30375402.313177023,39.05,42.5
29,-2360119434083.21,52460280177.48392,91.22923588039868,34925074.55420512,30844466.716460098,39.05,42.5
30,-2412546954619.535,41968224141.98714,91.16279069767442,64502379.98815054,32759641.158538934,39.05,42.5
31,-2454479147282.961,33574579313.58971,90.56478405315615,36924043.42108651,36031478.561718635,39.05,42.5
32,-2488018914795.759,26859663450.87177,90.8970099667774,61291597.92958959,34811800.79178792,39.05,42.5
33,-2514842623323.635,21487730760.69742,90.4983388704319,55869459.530486874,35954922.99554104,39.05,42.5
34,-2536294000024.619,17190184608.557934,90.4983388704319,79435075.3965747,36354059.7128162,39.05,42.5
35,-2553446958384.372,13752147686.846348,90.09966777408638,49978662.76155826,37226248.80499507,39.05,42.5
36,-2567160179028.671,11001718149.47708,90.03322259136213,64465905.44069462,38927042.547538646,39.05,42.5
37,-2578120076099.26,8801374519.581663,89.46843853820599,62057482.68625917,41821078.888225876,39.05,42.5
38,-2586879436547.6855,7041099615.665331,89.70099667774086,66459253.71161141,42014071.15579135,39.05,42.5
39,-2593874680829.5776,5632879692.532265,88.77076411960132,43638724.64860467,45855333.77348453,39.05,42.5
40,-2599460043191.9233,4506303754.025812,88.57142857142857,52356609.86504959,47517330.18672064,39.05,42.5
41,-2603916545821.9844,3605043003.2206497,87.87375415282392,51290451.116316944,49801123.96492581,39.05,42.5
42,-2607469116083.5127,2884034402.57652,87.67441860465117,69020435.6776987,52472741.692219265,39.05,42.5
43,-2610299567404.3364,2307227522.061216,87.27574750830564,64667472.40097324,53583081.75273228,39.05,42.5
44,-2612552630520.4995,1845782017.6489727,87.20930232558139,63008248.91534238,54164405.89794914,39.05,42.5
45,-2614341026249.958,1476625614.1191783,86.47840531561461,61809038.02154236,57386288.19032621,39.05,42.5
46,-2615758218303.769,1181300491.2953427,86.31229235880399,72569925.89276396,59433560.30826801,39.05,42.5
47,-2616877972453.718,945040393.0362742,85.51495016611295,76390223.85046795,61546341.34690401,39.05,42.5
48,-2617759998148.865,756032314.4290195,85.3156146179402,68923129.06541117,63014697.88872275,39.05,42.5
49,-2618447889832.58,604825851.5432156,84.28571428571429,46224577.0725502,68140630.71439938,39.05,42.5
50,-2618983898151.553,483860681.2345725,84.0531561461794,59647350.133641034,68817532.5703464,39.05,42.5
51,-2619393498366.9824,387088544.987658,82.7906976744186,66174945.02353233,74260465.80504818,39.05,42.5
52,-2619705248078.384,309670835.99012643,82.32558139534883,80196859.06168878,75338833.58645421,39.05,42.5
