,Reserves,Yearly Public Spending,Unemployment Rate,GDP,Tax Revenue,Inflation Rate,Interest Rate
0,5439372030600.0,109843007650.0,8.4,0.0,0.0,39.05,42.5
1,5329529022950.0,120827308415.00002,100.0,0.0,0.0,39.05,42.5
2,5208708077000.176,132910039256.50003,98.00399201596807,1032212.5422908239,6362465.17621932,39.05,42.5
3,5075813425925.339,146201043182.15005,96.00798403193613,1230872.3857264156,15388181.6630754,39.05,42.5
4,4929620033982.584,160821147500.36508,97.60479041916167,207974.98709150785,7651239.395039157,39.05,42.5
5,4768813287344.037,176903262250.4016,96.07451763140385,2223230.3863996104,14400861.818460649,39.05,42.5
6,4591932688386.775,194593588475.4418,94.14504324683965,2632594.5782568688,22663293.139663246,39.05,42.5
7,4397367162207.233,214052947322.986,92.34863606121091,3018017.0090338984,28062295.899084184,39.05,42.5
8,4183349112872.3125,235458242055.2846,90.48569527611444,3381282.5367303924,34897988.06544176,39.05,42.5
9,3947931795113.8833,259004066260.81308,88.62275449101796,3747495.466969936,40924296.85529219,39.05,42.5
10,3688976585387.4194,284904472886.8944,86.7598137059215,4145337.0811684243,48856534.34906384,39.05,42.5
11,3404128288865.5156,313394920175.58386,84.76380572188955,4509297.810979421,56176364.990884356,39.05,42.5
12,3090795336035.527,344734412193.1423,82.83433133732535,4889589.57844342,61967345.59537773,39.05,42.5
13,2746130115960.5625,379207853412.45654,80.97139055222887,5247991.948337628,69192118.1777735,39.05,42.5
14,2366997855975.739,417128638753.7022,79.1084497671324,5604393.872993398,75593427.63299286,39.05,42.5
15,1949949187011.436,458841502629.07245,77.44510978043913,5958817.782365017,79969789.39942683,39.05,42.5
16,1491194300808.3582,504725652891.97974,75.64870259481037,6306437.43375115,86616425.99469997,39.05,42.5
17,986563663150.6838,555198218181.1777,73.71922821024619,6639049.6419156445,95015234.30539437,39.05,42.5
18,431467800835.589,610718039999.2955,71.8562874251497,6988147.362031506,102355866.0829088,39.05,42.5
19,-179142955612.42938,488574431999.43646,70.05988023952095,7345509.8408539975,107283551.27715039,39.05,42.5
20,-667603656942.8701,390859545599.5492,68.1969394544245,7689926.738831169,113730668.99568155,39.05,42.5
21,-1058344007096.0657,312687636479.63934,66.46706586826348,8039717.451191541,119195446.35359477,39.05,42.5
22,-1370905785695.989,250150109183.7115,64.67065868263472,8375374.506458129,125857879.71604587,39.05,42.5
23,-1620925384615.263,200120087346.9692,63.00731869594145,8715813.793007383,130510264.43748622,39.05,42.5
24,-1820909203563.8599,160096069877.57538,61.210911510312705,9052927.146168914,136268398.37235793,39.05,42.5
25,-1980862253776.6785,128076855902.0603,59.347970725216236,9396397.373068731,143019664.75683382,39.05,42.5
26,-2108790208465.6833,102461484721.64825,57.55156353958749,9737154.593987469,148901213.05535743,39.05,42.5
27,-2211098082837.3887,81969187777.3186,55.95475715236194,10065459.427703874,153610349.94301403,39.05,42.5
28,-2292908166040.4775,65575350221.85489,54.32468396540253,10388452.305447828,159104574.2297013,39.05,42.5
29,-2358318917117.019,52460280177.48392,52.794411177644704,10722243.564594606,164599145.3132628,39.05,42.5
30,-2410612150095.483,41968224141.98714,51.49700598802395,11058590.54153385,167047199.01988116,39.05,42.5
31,-2452409908006.735,33574579313.58971,50.26613439787092,11389852.226368321,170466230.7351518,39.05,42.5
32,-2485810144599.758,26859663450.87177,48.76912840984697,11721684.622242363,174342720.5670584,39.05,42.5
33,-2512492585087.198,21487730760.69742,47.63805721889554,12049998.343124656,177222963.43120837,39.05,42.5
34,-2533801387032.2915,17190184608.557934,46.60678642714571,12372606.21311859,178928815.6040206,39.05,42.5
35,-2550809978815.9023,13752147686.846348,45.309381237524946,12686323.448832555,181592824.94734946,39.05,42.5
36,-2564378073519.299,11001718149.47708,44.145043246839656,12991022.836667018,184052983.44946605,39.05,42.5
37,-2575192946516.9136,8801374519.581663,42.78110445775116,13297809.976187732,186845151.86231053,39.05,42.5
38,-2583803587733.211,7041099615.665331,41.583499667332,13624564.926418474,190733303.28433773,39.05,42.5
39,-2590651906568.011,5632879692.532265,40.35262807717898,13952047.453081513,192780780.86542812,39.05,42.5
40,-2596088325690.4834,4506303754.025812,39.055222887558216,14266260.881144574,196460570.0598153,39.05,42.5
41,-2600395697307.6294,3605043003.2206497,37.924151696606785,14576219.159670066,198932136.87998223,39.05,42.5
42,-2603799404373.5474,2884034402.57652,36.92614770459082,14897255.985414632,201335937.30252865,39.05,42.5
43,-2606479806099.069,2307227522.061216,35.728542914171655,15208749.197657997,203632677.05496645,39.05,42.5
44,-2608580636556.946,1845782017.6489727,34.597471723220224,15538390.580121676,206397064.1839892,39.05,42.5
45,-2610217820607.448,1476625614.1191783,33.4664005322688,15863813.559469216,208597967.14632788,39.05,42.5
46,-2611483095145.976,1181300491.2953427,32.26879574184963,16183096.729548067,211351075.59139898,39.05,42.5
47,-2612450385563.319,945040393.0362742,31.17099135063207,16502486.177547729,214010073.95255083,39.05,42.5
48,-2613179461440.0786,756032314.4290195,30.13972055888224,16822357.87580496,215964516.27614936,39.05,42.5
49,-2613716853124.6406,604825851.5432156,28.942115768463072,17154721.92715831,218640629.86707702,39.05,42.5
50,-2614100820968.692,483860681.2345725,27.844311377245507,17475361.718353365,220858007.49227002,39.05,42.5
51,-2614361536948.021,387088544.987658,26.746506986027946,17809811.61245212,223144701.90515414,39.05,42.5
52,-2614523975401.592,309670835.99012643,25.88157019294744,18130552.34071106,224650091.41700968,39.05,42.5
