,Reserves,Yearly Public Spending,Unemployment Rate,GDP,Tax Revenue,Inflation Rate,Interest Rate
0,5439372030600.0,109843007650.0,8.4,0.0,0.0,39.05,42.5
1,5329529022950.0,120827308415.00002,100.0,0.0,0.0,39.05,42.5
2,5208708082930.985,132910039256.50003,97.97365754812563,5704716.441391884,6368395.985381587,39.05,42.5
3,5075813129929.475,146201043182.15005,95.94731509625126,5739555.973460688,15086254.988956122,39.05,42.5
4,4929622430112.499,160821147500.36508,97.2306653157717,823138.6888770609,10343365.17501736,39.05,42.5
5,4768813565764.064,176903262250.4016,96.1499493414387,5355439.876947227,12283151.930405937,39.05,42.5
6,4591925296306.031,194593588475.4418,94.93414387031407,6649342.424363231,14992792.368018543,39.05,42.5
7,4397348824071.929,214052947322.986,93.9885173927727,7612010.441326773,17116241.339510318,39.05,42.5
8,4183318155546.5654,235458242055.2846,92.50253292806484,8880692.659441115,22278797.62187736,39.05,42.5
9,3947885593884.7046,259004066260.81308,91.1516379601486,9413340.38180235,25680393.423605327,39.05,42.5
10,3688908373205.177,284904472886.8944,90.0709219858156,10129153.094990248,26845581.285205692,39.05,42.5
11,3404035657423.505,313394920175.58386,88.58493752110773,10612564.954565529,31757105.22247126,39.05,42.5
12,3090676510305.1196,344734412193.1423,87.16649780479567,10995859.409536527,35773057.19881218,39.05,42.5
13,2745979652281.75,379207853412.45654,85.88314758527524,11413371.215862574,37554169.772435606,39.05,42.5
14,2366813122516.065,417128638753.7022,84.59979736575481,11792532.038159875,41323646.771551944,39.05,42.5
15,1949732357983.6309,458841502629.07245,82.9111786558595,12167475.491304958,47874221.26789073,39.05,42.5
16,1490939871754.554,504725652891.97974,81.89800742992233,12556940.17467405,49016399.99565231,39.05,42.5
17,986268676692.8826,555198218181.1777,80.41202296521446,12951616.65196073,54457830.30834291,39.05,42.5
18,431128032925.9159,610718039999.2955,79.19621749408984,13326058.1281963,57574414.211083926,39.05,42.5
19,-179528348503.88782,488574431999.43646,77.9128672745694,13740872.451776452,61658569.49184485,39.05,42.5
20,-668036938715.7446,390859545599.5492,76.49442755825734,14122890.690396188,65841787.579613745,39.05,42.5
21,-1058827125171.6327,312687636479.63934,75.21107733873691,14529024.802114474,69359143.66112958,39.05,42.5
22,-1371442240686.062,250150109183.7115,73.92772711921648,14896613.406843733,72520965.21004874,39.05,42.5
23,-1621515468445.8372,200120087346.9692,72.50928740290442,15286213.404576117,76881423.93628173,39.05,42.5
24,-1821556933079.2212,160096069877.57538,71.36102668017563,15681451.267944003,78622713.58512014,39.05,42.5
25,-1981569277595.0645,128076855902.0603,69.94258696386356,16061914.392750585,83725361.73214407,39.05,42.5
26,-2109560614935.895,102461484721.64825,68.72678149273894,16431334.351682913,85518561.22964321,39.05,42.5
27,-2211932391463.662,81969187777.3186,67.51097602161433,16785130.373472992,89708193.88106543,39.05,42.5
28,-2293808885981.948,65575350221.85489,66.43026004728132,17143781.968107846,92693259.03248459,39.05,42.5
29,-2359287113028.822,52460280177.48392,64.94427558257345,17513674.92487523,97123174.981577,39.05,42.5
30,-2411649147681.903,41968224141.98714,63.863559608240465,17895764.4019968,98245524.40292458,39.05,42.5
31,-2453513734464.796,33574579313.58971,62.51266464032421,18283109.1873391,103637359.0941878,39.05,42.5
32,-2486982117430.367,26859663450.87177,61.36440391759541,18651638.603300467,106196348.01865356,39.05,42.5
33,-2513732347811.5244,21487730760.69742,60.14859844647079,19025242.476440318,109433069.7145995,39.05,42.5
34,-2535108187912.2295,17190184608.557934,59.06788247213779,19387513.19369469,111890659.99199063,39.05,42.5
35,-2552183096295.873,13752147686.846348,57.9871664978048,19743680.247091986,115276224.91433406,39.05,42.5
36,-2565818836087.6963,11001718149.47708,57.10908476865924,20102622.734681375,116407895.02316545,39.05,42.5
37,-2576699559411.8496,8801374519.581663,55.82573454913881,20488648.45800006,120994825.3237298,39.05,42.5
38,-2585378101848.2983,7041099615.665331,54.947652819993245,20844709.59489568,122832083.13271923,39.05,42.5
39,-2592291762369.321,5632879692.532265,53.664302600472816,21215081.03455377,127439094.64295107,39.05,42.5
40,-2597795055865.8584,4506303754.025812,52.78622087132725,21566051.92006093,129586195.9944646,39.05,42.5
41,-2602168832748.6885,3605043003.2206497,51.908139142181696,21937617.103051867,132526871.1958473,39.05,42.5
42,-2605637961403.7866,2884034402.57652,50.75987841945289,22306353.72071988,135914348.12236235,39.05,42.5
43,-2608383227362.366,2307227522.061216,49.746707193515704,22663850.61800158,138768443.99703306,39.05,42.5
44,-2610549268312.223,1845782017.6489727,48.530901722391086,23026163.797133666,141186572.20398676,39.05,42.5
45,-2612250313846.858,1476625614.1191783,47.58527524484971,23395388.755453456,144736483.0143773,39.05,42.5
46,-2613581005797.1743,1181300491.2953427,46.57210401891253,23753411.450941652,145933663.80250672,39.05,42.5
47,-2614611818446.8384,945040393.0362742,45.35629854778791,24131033.18694713,150487841.6313939,39.05,42.5
48,-2615406154037.613,756032314.4290195,44.7483958122256,24482689.091884803,150704802.26189038,39.05,42.5
49,-2616006158587.3066,604825851.5432156,43.46504559270517,24849014.44921462,156027764.7352319,39.05,42.5
50,-2616454562273.801,483860681.2345725,42.78959810874704,25205918.972057104,156422165.04948923,39.05,42.5
51,-2616777866670.6963,387088544.987658,41.776426882809865,25576484.315687954,160556284.33901024,39.05,42.5
52,-2617002665762.192,309670835.99012643,40.8983451536643,25933987.999132555,162289453.49200535,39.05,42.5
