,Reserves,Yearly Public Spending,Unemployment Rate,GDP,Tax Revenue,Inflation Rate,Interest Rate
0,5439372030600.0,109843007650.0,8.4,0.0,0.0,39.05,42.5
1,5329529022950.0,120827308415.00002,100.0,0.0,0.0,39.05,42.5
2,5208708119745.702,132910039256.50003,98.00664451827242,5253319.382144597,6405210.701912536,39.05,42.5
3,5075812973739.471,146201043182.15005,96.01328903654485,5365478.829460835,14893250.268516297,39.05,42.5
4,4929621032562.643,160821147500.36508,97.27574750830564,795723.0073012175,9102005.322452614,39.05,42.5
5,4768813144769.132,176903262250.4016,96.27906976744185,5348286.565773845,13259706.854827229,39.05,42.5
6,4591924589460.022,194593588475.4418,95.3156146179402,6791274.165676025,14706941.291555956,39.05,42.5
7,4397348637470.361,214052947322.986,94.25249169435216,7171961.794249748,17636485.779915586,39.05,42.5
8,4183315859358.314,235458242055.2846,93.18936877076412,8552656.116690239,20169210.939141788,39.05,42.5
9,3947880636075.703,259004066260.81308,91.86046511627907,8435835.445602668,23018772.673737567,39.05,42.5
10,3688900928916.7407,284904472886.8944,90.66445182724252,8399292.512634845,24359101.850540202,39.05,42.5
11,3404025719023.546,313394920175.58386,89.26910299003322,8967683.145850312,29262993.69981635,39.05,42.5
12,3090661372913.073,344734412193.1423,88.20598006644518,9720593.497157121,30574065.111510474,39.05,42.5
13,2745961574531.709,379207853412.45654,86.74418604651163,10400120.804010075,34613811.7776512,39.05,42.5
14,2366791279080.7095,417128638753.7022,85.48172757475083,10975153.370841002,37557961.45707196,39.05,42.5
15,1949704793809.812,458841502629.07245,84.15282392026579,11364442.356274983,42153482.80461647,39.05,42.5
16,1490908562016.156,504725652891.97974,82.890365448505,11745947.587178012,45270835.41645035,39.05,42.5
17,986231926964.4182,555198218181.1777,81.56146179401993,12104682.42027642,49017840.24196813,39.05,42.5
18,431085734945.157,610718039999.2955,80.4983388704319,12415515.367185153,52026161.916453205,39.05,42.5
19,-179575470743.38867,488574431999.43646,79.16943521594685,12779110.763017314,56834310.74986175,39.05,42.5
20,-668091874820.8597,390859545599.5492,78.23920265780731,13176569.118252268,58027921.96535434,39.05,42.5
21,-1058887585201.1466,312687636479.63934,76.71096345514951,13544763.339707304,63835219.26235257,39.05,42.5
22,-1371510566265.4807,250150109183.7115,75.71428571428571,13903244.423323598,64655415.30529136,39.05,42.5
23,-1621590707448.4387,200120087346.9692,74.38538205980066,14272218.615103228,69968000.75341281,39.05,42.5
24,-1821639167011.2698,160096069877.57538,73.25581395348837,14632103.070504837,71627784.13818179,39.05,42.5
25,-1981658221986.0354,128076855902.0603,71.79401993355482,15000456.620471627,77014902.80979235,39.05,42.5
26,-2109656922725.9785,102461484721.64825,70.73089700996678,15373474.712509884,78155162.11713073,39.05,42.5
27,-2212035480115.0825,81969187777.3186,69.46843853820597,15722154.778283002,82927332.54432617,39.05,42.5
28,-2293919175839.879,65575350221.85489,68.33887043189368,16067493.022830423,85492052.52260219,39.05,42.5
29,-2359405452221.5767,52460280177.48392,67.27574750830566,16425688.600834053,89073840.157083,39.05,42.5
30,-2411775157811.463,41968224141.98714,66.34551495016612,16785501.807058994,90574587.59765485,39.05,42.5
31,-2453649078741.061,33574579313.58971,65.28239202657808,17155691.412680037,94303212.3891681,39.05,42.5
32,-2487127517944.1636,26859663450.87177,64.28571428571429,17495159.876715306,96140110.48723707,39.05,42.5
33,-2513888210935.367,21487730760.69742,63.2890365448505,17854534.481241174,98970459.66804573,39.05,42.5
34,-2535274229896.204,17190184608.557934,62.093023255813954,18195620.08267628,101711799.86018299,39.05,42.5
35,-2552360089958.528,13752147686.846348,60.96345514950167,18543572.940579727,104324546.2342605,39.05,42.5
36,-2566007476982.7363,11001718149.47708,60.166112956810636,18895789.165591158,104760662.63761932,39.05,42.5
37,-2576900194624.7114,8801374519.581663,58.97009966777409,19246112.056606177,109000507.50217856,39.05,42.5
38,-2585592651635.382,7041099615.665331,58.43853820598006,19588629.441866618,108917508.91093,39.05,42.5
39,-2592520544061.047,5632879692.532265,57.176079734219265,19918659.45633672,113207190.00064869,39.05,42.5
40,-2598038809947.677,4506303754.025812,56.31229235880399,20267754.81654634,114613805.90223396,39.05,42.5
41,-2602427627147.3755,3605043003.2206497,55.3156146179402,20598626.641846415,117486554.32730402,39.05,42.5
42,-2605913775486.576,2884034402.57652,54.65116279069767,20944725.075315055,118894664.02017494,39.05,42.5
43,-2608675774440.0737,2307227522.061216,53.65448504983389,21289082.266244072,122035449.0792304,39.05,42.5
44,-2610860781482.2754,1845782017.6489727,52.99003322259136,21623336.536444318,122220479.85916877,39.05,42.5
45,-2612579252707.931,1476625614.1191783,51.59468438538206,21969557.62410948,127310791.99336079,39.05,42.5
46,-2613928318168.5566,1181300491.2953427,50.93023255813953,22317454.49301626,127560153.49366459,39.05,42.5
47,-2614976745541.2886,945040393.0362742,49.667774086378735,22680308.461138587,132873118.56364165,39.05,42.5
48,-2615789107958.887,756032314.4290195,49.00332225913621,23010538.03858226,132677975.43753687,39.05,42.5
49,-2616409910225.17,604825851.5432156,48.20598006644518,23385617.01622376,135230048.14663798,39.05,42.5
50,-2616878487540.4077,483860681.2345725,47.475083056478404,23706820.011464506,136248536.30581668,39.05,42.5
51,-2617223852904.018,387088544.987658,46.478405315614616,24046051.1893672,138495317.62381896,39.05,42.5
52,-2617471590346.2295,309670835.99012643,46.013289036544855,24395147.229265247,139351102.77615002,39.05,42.5
