,Reserves,Yearly Public Spending,Unemployment Rate,GDP,Tax Revenue,Inflation Rate,Interest Rate
0,5439372030600.0,109843007650.0,8.4,0.0,0.0,39.05,42.5
1,5329529022950.0,120827308415.00002,100.0,0.0,0.0,39.05,42.5
2,5208707924928.275,132910039256.50003,98.0688767299646,47451371.46445322,6210393.275277209,39.05,42.5
3,5075812614752.734,146201043182.15005,96.13775345992919,46369391.56187731,14729080.95919886,39.05,42.5
4,4929629139953.154,160821147500.36508,95.68715803025427,6414946.12443252,17568382.56997856,39.05,42.5
5,4768824884918.033,176903262250.4016,95.36530415191503,11948252.315546561,16892465.24415192,39.05,42.5
6,4591939222163.248,194593588475.4418,95.36530415191503,21256533.95360434,17599495.61597029,39.05,42.5
7,4397363337600.517,214052947322.986,95.1721918249115,29223095.540590156,17703912.71061284,39.05,42.5
8,4183330912832.915,235458242055.2846,94.52848406823303,36325632.51562616,20522555.384026337,39.05,42.5
9,3947892509719.9478,259004066260.81308,94.14225941422593,38203393.86038177,19838942.317287937,39.05,42.5
10,3688909552253.5615,284904472886.8944,93.9491470872224,40951210.02335151,21108794.42684897,39.05,42.5
11,3404026667442.9653,313394920175.58386,93.5307370453814,40689114.05269968,21588076.298190765,39.05,42.5
12,3090654321797.778,344734412193.1423,93.5307370453814,42410782.25569634,22574530.396540444,39.05,42.5
13,2745941571486.416,379207853412.45654,93.4019954940457,44773030.69951783,21661881.780331135,39.05,42.5
14,2366754534393.4893,417128638753.7022,93.33762471837785,44513943.0809984,20816319.529950757,39.05,42.5
15,1949646040798.8892,458841502629.07245,93.5307370453814,44862053.10800684,20145159.102271423,39.05,42.5
16,1490825960521.231,504725652891.97974,93.1445123913743,46289457.826892704,21422351.414287243,39.05,42.5
17,986121123285.8071,555198218181.1777,93.33762471837785,44243708.71943704,20815656.555886902,39.05,42.5
18,430942898130.34973,610718039999.2955,93.56292243321532,45194786.366085924,19993025.720363196,39.05,42.5
19,-179755815158.7661,488574431999.43646,93.49855165754747,44409140.31303367,19326710.179702193,39.05,42.5
20,-668310539338.8833,390859545599.5492,93.62729320888317,42811819.04193421,19707819.319245175,39.05,42.5
21,-1059149171399.6777,312687636479.63934,93.33762471837785,44446369.062595785,20913538.754727177,39.05,42.5
22,-1371815410402.3364,250150109183.7115,92.95140006437077,42858514.6968472,21397476.980650585,39.05,42.5
23,-1621944974321.8047,200120087346.9692,93.04795622787255,45486788.82047841,20545264.24314903,39.05,42.5
24,-1822044471238.1602,160096069877.57538,93.1123270035404,46244644.57935429,20590430.61382396,39.05,42.5
25,-1982120574196.8613,128076855902.0603,92.95140006437077,44625711.14857852,19966918.874292746,39.05,42.5
26,-2110177841612.9321,102461484721.64825,93.17669777920824,46101836.66210162,19588485.98949014,39.05,42.5
27,-2212620039440.5137,81969187777.3186,93.1445123913743,45985125.66463234,19286894.06695092,39.05,42.5
28,-2294569446347.3604,65575350221.85489,93.01577084003863,44504798.887614526,19780870.471715063,39.05,42.5
29,-2360126009248.1924,52460280177.48392,92.9835854522047,46327501.94707805,18787321.022813622,39.05,42.5
30,-2412566179675.5884,41968224141.98714,92.66173157386547,42844858.42061673,20109750.08812326,39.05,42.5
31,-2454516046240.858,33574579313.58971,92.88702928870293,44594392.051856585,18357576.7176027,39.05,42.5
32,-2488073715165.971,26859663450.87177,93.1445123913743,45820880.3331037,16910388.476445004,39.05,42.5
33,-2514916302763.0195,21487730760.69742,93.24106855487608,46560561.977080666,17075853.823072355,39.05,42.5
34,-2536387449532.811,17190184608.557934,93.30543933054393,43059700.107136644,16583990.905601412,39.05,42.5
35,-2553561717277.5273,13752147686.846348,93.4019954940457,41362190.58343603,15916863.841653593,39.05,42.5
36,-2567297028203.1274,11001718149.47708,93.30543933054393,37358617.74772089,16836761.246177394,39.05,42.5
37,-2578280624583.0347,8801374519.581663,93.17669777920824,36488784.62257659,18121769.569606796,39.05,42.5
38,-2587065888982.243,7041099615.665331,93.46636626971355,38415344.59951166,16110120.373229098,39.05,42.5
39,-2594091526100.3237,5632879692.532265,93.59510782104924,40797876.42861965,15462497.58513365,39.05,42.5
40,-2599708017915.4155,4506303754.025812,93.49855165754747,42419541.95435766,16387877.440524295,39.05,42.5
41,-2604199383480.052,3605043003.2206497,93.59510782104924,40676970.08022737,14938189.38960953,39.05,42.5
42,-2607790275432.306,2884034402.57652,93.75603476021887,39986815.82930903,14151050.96610386,39.05,42.5
43,-2610657859377.925,2307227522.061216,93.20888316704216,37439527.915095896,16450456.957807932,39.05,42.5
44,-2612947415953.292,1845782017.6489727,92.91921467653685,37161735.64380846,17670946.693909366,39.05,42.5
45,-2614774802639.457,1476625614.1191783,92.59736079819761,40315316.79002386,18395331.484075308,39.05,42.5
46,-2616231850322.3564,1181300491.2953427,92.46861924686193,42763248.26104872,19577931.21995675,39.05,42.5
47,-2617392497041.129,945040393.0362742,92.33987769552623,43946391.05570835,20653772.522963088,39.05,42.5
48,-2618315164578.5356,756032314.4290195,91.8892822658513,46366129.37131734,22372855.62942814,39.05,42.5
49,-2619050289453.515,604825851.5432156,92.17895075635661,49386573.916919544,20907439.449518662,39.05,42.5
50,-2619633836155.7397,483860681.2345725,92.11457998068877,53639067.13169503,21279149.319071215,39.05,42.5
51,-2620095952362.93,387088544.987658,92.05020920502092,54364668.20370682,21744474.043867413,39.05,42.5
52,-2620460680087.0693,309670835.99012643,91.95365304151915,51910231.006095275,22360820.8487041,39.05,42.5
