,Reserves,Yearly Public Spending,Unemployment Rate,GDP,Tax Revenue,Inflation Rate,Interest Rate
0,5439372030600.0,109843007650.0,8.4,0.0,0.0,39.05,42.5
1,5329529022950.0,120827308415.00002,100.0,0.0,0.0,39.05,42.5
2,5208708774569.32,132910039256.50003,97.15051961112974,17911838.67136978,7060034.320304876,39.05,42.5
3,5075815779953.203,146201043182.15005,94.30103922225948,17466723.920286287,17044640.38326651,39.05,42.5
4,4929630515352.67,160821147500.36508,94.66979550787798,2596273.867999662,15778581.617480598,39.05,42.5
5,4768824149538.112,176903262250.4016,94.77036540395575,11523110.213173253,14781685.807279654,39.05,42.5
6,4591938885114.519,194593588475.4418,93.46295675494468,18222991.024316244,17997826.80783795,39.05,42.5
7,4397364914251.693,214052947322.986,92.35668789808918,20546072.16686974,19617612.616535526,39.05,42.5
8,4183332937999.832,235458242055.2846,91.21689574254107,23846421.88519648,20971071.124942433,39.05,42.5
9,3947899217071.668,259004066260.81308,89.70834730137446,24246016.58657765,24521127.120429818,39.05,42.5
10,3688922185041.055,284904472886.8944,88.33389205497821,26460067.92012699,27034230.19997123,39.05,42.5
11,3404046635025.758,313394920175.58386,87.02648340596714,29004681.059108257,28922871.597218323,39.05,42.5
12,3090684735140.964,344734412193.1423,85.45088836741536,30734982.2052696,33020290.790019404,39.05,42.5
13,2745985837441.5127,379207853412.45654,83.87529332886356,32589553.79852625,35514493.69101769,39.05,42.5
14,2366817836009.9565,417128638753.7022,81.89741870600066,34100963.96205572,39851980.900572,39.05,42.5
15,1949731111120.0435,458841502629.07245,80.38887026483405,36537732.93370677,41913863.789183564,39.05,42.5
16,1490934692840.8225,504725652891.97974,78.54508883674154,37471672.71838623,45084349.85166249,39.05,42.5
17,986257053604.2776,555198218181.1777,76.63426081126383,39772401.8013834,48013655.43469428,39.05,42.5
18,431111001546.70825,610718039999.2955,74.92457257794167,40492934.22329274,52166123.60844016,39.05,42.5
19,-179551449907.85406,488574431999.43646,72.81260476030842,42034765.887402244,55588544.73319142,39.05,42.5
20,-668066770955.059,390859545599.5492,71.16996312437144,44218938.01102627,59110952.23159853,39.05,42.5
21,-1058864092572.7003,312687636479.63934,69.05799530673818,45234198.76179902,62223981.90787107,39.05,42.5
22,-1371485785244.4958,250150109183.7115,67.41535367080121,47310062.30704762,65943807.84369066,39.05,42.5
23,-1621566921828.1238,200120087346.9692,65.5045256453235,48659570.8213971,68972600.08355072,39.05,42.5
24,-1821615779854.876,160096069877.57538,63.99597720415689,49994433.53148192,71229320.21716025,39.05,42.5
25,-1981637119362.246,128076855902.0603,62.085149178679174,50947014.7579182,74730370.20526081,39.05,42.5
26,-2109635482375.151,102461484721.64825,60.509554140127385,52136234.95441864,78492889.15540218,39.05,42.5
27,-2212014051323.761,81969187777.3186,58.66577271203487,53847763.98373503,82915773.03775436,39.05,42.5
28,-2293897255729.0615,65575350221.85489,57.09017767348307,54933350.03873278,85983372.01796412,39.05,42.5
29,-2359382017187.898,52460280177.48392,55.31344284277573,56615939.71001005,90588763.01876397,39.05,42.5
30,-2411749478168.4746,41968224141.98714,53.871940998994305,58002567.99531499,92819196.90722764,39.05,42.5
31,-2453618631349.1934,33574579313.58971,52.02815957090178,59325375.27306932,99070961.26865256,39.05,42.5
32,-2487091774650.303,26859663450.87177,50.318471337579616,60702551.22948681,101436012.4801889,39.05,42.5
33,-2513845562787.665,21487730760.69742,48.67582970164264,61905488.72672373,105875313.50963055,39.05,42.5
34,-2535224816019.9834,17190184608.557934,47.10023466309085,63179773.37724158,108477528.37868598,39.05,42.5
35,-2552303779233.0845,13752147686.846348,45.7257794166946,64526012.01390053,111221395.45680968,39.05,42.5
36,-2565940526114.432,11001718149.47708,43.94904458598726,65857295.836761676,115400805.49856475,39.05,42.5
37,-2576824344852.292,8801374519.581663,42.70868253436138,67185638.44684614,117899411.61721535,39.05,42.5
38,-2585505373487.6113,7041099615.665331,41.40127388535032,68546688.92771058,120345884.26205248,39.05,42.5
39,-2592421546942.522,5632879692.532265,39.758632249413346,69838584.31080665,124926160.75474672,39.05,42.5
40,-2597928938129.4575,4506303754.025812,38.652363392557824,71118168.16961624,125488505.59644823,39.05,42.5
41,-2602305458623.4697,3605043003.2206497,37.14381495139122,72461678.3006154,129783260.01359813,39.05,42.5
42,-2605778369312.217,2884034402.57652,35.903452899765334,73774267.53834108,132132314.47374289,39.05,42.5
43,-2608525628445.207,2307227522.061216,34.394904458598724,75065241.4773381,136775269.5865702,39.05,42.5
44,-2610694552599.9517,1845782017.6489727,33.087495809587665,76387831.15194856,138303367.31648874,39.05,42.5
45,-2612397619187.5127,1476625614.1191783,31.511900771035872,77695597.50797004,142715430.08767727,39.05,42.5
46,-2613729523023.503,1181300491.2953427,29.936305732484076,78987731.98131642,144721778.12867513,39.05,42.5
47,-2614762547265.02,945040393.0362742,28.52832718739524,80315153.78835458,148276249.77839258,39.05,42.5
48,-2615555963145.326,756032314.4290195,27.019778746228628,81585631.49544302,151624512.72979587,39.05,42.5
49,-2616158430643.2114,604825851.5432156,25.71237009721757,82913623.61439027,153564816.54376,39.05,42.5
50,-2616606510019.949,483860681.2345725,24.404961448206503,84229289.99778481,156746474.80566052,39.05,42.5
51,-2616931488570.6904,387088544.987658,23.198122695273216,85552236.32427643,158882130.49327618,39.05,42.5
52,-2617156558666.649,309670835.99012643,21.723097552799196,86837240.93201217,162018449.02937672,39.05,42.5
