,Reserves,Yearly Public Spending,Unemployment Rate,GDP,Tax Revenue,Inflation Rate,Interest Rate
0,5439372030600.0,109843007650.0,8.4,0.0,0.0,39.05,42.5
1,5329529022950.0,120827308415.00002,100.0,0.0,0.0,39.05,42.5
2,5208708861936.868,132910039256.50003,97.16949716949716,16956383.15637091,7147401.868595222,39.05,42.5
3,5075816030994.657,146201043182.15005,94.33899433899434,16797708.971786864,17208314.289372254,39.05,42.5
4,4929632486396.785,160821147500.36508,94.7052947052947,2451655.7659475883,17498584.277989272,39.05,42.5
5,4768827966229.287,176903262250.4016,94.27239427239428,11098031.122305006,16627332.86737057,39.05,42.5
6,4591944611138.95,194593588475.4418,93.04029304029304,18393457.840912707,19907160.064011894,39.05,42.5
7,4397374990896.347,214052947322.986,91.6083916083916,20589618.144430723,23968232.83913624,39.05,42.5
8,4183350487064.304,235458242055.2846,90.04329004329004,22613362.013671923,28443490.94274908,39.05,42.5
9,3947924990891.915,259004066260.81308,88.54478854478855,25816651.345938675,32745882.895633504,39.05,42.5
10,3688957401008.8022,284904472886.8944,86.97968697968697,27738672.57398498,36476377.700279936,39.05,42.5
11,3404096014909.2593,313394920175.58386,84.88178488178488,28898131.708913635,43086787.35173552,39.05,42.5
12,3090748092107.221,344734412193.1423,83.05028305028304,30754762.558663733,46997373.545779794,39.05,42.5
13,2746066301465.0474,379207853412.45654,80.75258075258076,33565712.63266073,52621550.96827637,39.05,42.5
14,2366916620398.1987,417128638753.7022,78.52147852147851,35629398.172579065,58172345.60811716,39.05,42.5
15,1949852293597.6323,458841502629.07245,76.09057609057609,38189981.347352676,64311953.13552947,39.05,42.5
16,1491078022087.3577,504725652891.97974,74.05927405927406,39746342.43416937,67231118.79775992,39.05,42.5
17,986428636512.8218,555198218181.1777,71.42857142857143,40714475.450724185,76267317.44384995,39.05,42.5
18,431310631600.4944,610718039999.2955,69.3972693972694,43051019.253519386,80213268.85029042,39.05,42.5
19,-179320116553.9098,488574431999.43646,66.96636696636696,44547875.33347142,87291844.89138472,39.05,42.5
20,-667801976747.1254,390859545599.5492,64.73526473526474,46293742.451450996,92571806.22087301,39.05,42.5
21,-1058560426434.8481,312687636479.63934,62.23776223776224,47796815.34664212,101095911.82646741,39.05,42.5
22,-1371142442813.775,250150109183.7115,60.20646020646021,49556337.28564446,105620100.71260326,39.05,42.5
23,-1621180493091.588,200120087346.9692,57.97535797535798,51174801.93448019,112058905.89836116,39.05,42.5
24,-1821182381218.3535,160096069877.57538,55.810855810855806,53000965.95788278,118199220.2037172,39.05,42.5
25,-1981152108712.0544,128076855902.0603,53.379953379953385,54645003.48874718,126342383.87453465,39.05,42.5
26,-2109096548978.7136,102461484721.64825,51.01565101565102,56475468.52318686,132415635.40123296,39.05,42.5
27,-2211417112018.209,81969187777.3186,48.85114885114885,58094718.24247599,140921682.15287933,39.05,42.5
28,-2293241369248.8457,65575350221.85489,46.95304695304695,59960274.5809039,144930546.68178812,39.05,42.5
29,-2358663910187.5947,52460280177.48392,44.655344655344656,61567962.14113796,152809283.10592648,39.05,42.5
30,-2410966438307.7217,41968224141.98714,42.75724275724276,63362078.845810756,157752057.35705894,39.05,42.5
31,-2452769120062.8228,33574579313.58971,40.426240426240426,65036327.4335924,165542386.88601837,39.05,42.5
32,-2486174374920.3306,26859663450.87177,38.42823842823842,66762129.61878875,169324456.08216056,39.05,42.5
33,-2512857345009.3877,21487730760.69742,36.23043623043623,68352909.8482391,176693361.8142808,39.05,42.5
34,-2534164711495.6416,17190184608.557934,34.5987345987346,70198135.60519314,180364274.4432831,39.05,42.5
35,-2551169522679.494,13752147686.846348,32.467532467532465,71776608.51477495,185373424.70534873,39.05,42.5
36,-2564732835879.9155,11001718149.47708,30.835830835830834,73411447.12742583,188834486.4247929,39.05,42.5
37,-2575540106058.6504,8801374519.581663,28.804528804528807,74913066.67493612,194447970.74223077,39.05,42.5
38,-2584142517670.3403,7041099615.665331,27.106227106227106,76515062.31234327,198962907.89142802,39.05,42.5
39,-2590980865284.8584,5632879692.532265,25.074925074925076,78013098.62159748,202752001.14740053,39.05,42.5
40,-2596408038051.7827,4506303754.025812,23.50982350982351,79563093.26988769,205706925.6078581,39.05,42.5
41,-2600704728335.0635,3605043003.2206497,21.91142191142191,80943633.63714571,209613470.74535975,39.05,42.5
42,-2604097303983.208,2884034402.57652,20.17982017982018,82495497.27829304,212467355.07614464,39.05,42.5
43,-2606764758687.381,2307227522.061216,18.28171828171828,83854326.0642966,216579698.40362343,39.05,42.5
44,-2608853584166.1807,1845782017.6489727,16.98301698301698,85466610.25014237,218402043.26127157,39.05,42.5
45,-2610477543182.8384,1476625614.1191783,15.251415251415251,86813680.34951924,221823000.99101347,39.05,42.5
46,-2611732136298.1313,1181300491.2953427,14.119214119214119,88346041.94366367,222032498.82618678,39.05,42.5
47,-2612688928477.6562,945040393.0362742,12.953712953712953,89528266.6724802,224508311.77057645,39.05,42.5
48,-2613408143487.0527,756032314.4290195,11.688311688311687,90915704.88223365,225825383.63977328,39.05,42.5
49,-2613935546246.177,604825851.5432156,10.323010323010323,92203990.30067979,228629555.30539608,39.05,42.5
50,-2614311463811.991,483860681.2345725,9.324009324009324,93698494.59768185,228908285.7291302,39.05,42.5
51,-2614563391202.1387,387088544.987658,8.158508158508159,95002928.30221793,231933291.0868853,39.05,42.5
52,-2614718888743.196,309670835.99012643,7.392607392607392,96455734.63760652,231591003.93085974,39.05,42.5
