,Reserves,Yearly Public Spending,Unemployment Rate,GDP,Tax Revenue,Inflation Rate,Interest Rate
0,5439372030600.0,109843007650.0,8.4,0.0,0.0,39.05,42.5
1,5329529022950.0,120827308415.00002,100.0,0.0,0.0,39.05,42.5
2,5208708724343.242,132910039256.50003,96.85650887573965,17936308.795228444,7009808.241848338,39.05,42.5
3,5075816044775.525,146201043182.15005,93.71301775147928,17710943.061717913,17359688.783031248,39.05,42.5
4,4929630493356.106,160821147500.36508,94.8594674556213,2502397.6058626357,15491762.731215144,39.05,42.5
5,4768825403832.874,176903262250.4016,94.15680473372781,11577794.081341779,16057977.132732585,39.05,42.5
6,4591942702087.327,194593588475.4418,92.2707100591716,17397388.000885673,20560504.854530476,39.05,42.5
7,4397371287302.1587,214052947322.986,91.19822485207101,20753716.686979897,22173690.273308218,39.05,42.5
8,4183346034510.2046,235458242055.2846,89.38609467455622,22480756.323167402,27694531.03170732,39.05,42.5
9,3947920366117.446,259004066260.81308,87.35207100591717,24891709.985290494,32573662.526042342,39.05,42.5
10,3688952877692.207,284904472886.8944,85.3180473372781,28227391.568114687,36577835.57397846,39.05,42.5
11,3404090514111.21,313394920175.58386,82.76627218934911,31121773.813545648,42109305.89759337,39.05,42.5
12,3090745017988.0625,344734412193.1423,79.91863905325444,32791492.93024964,49424052.436335154,39.05,42.5
13,2746064285440.3564,379207853412.45654,77.44082840236686,35574044.151716694,53679645.43601878,39.05,42.5
14,2366917480200.753,417128638753.7022,74.6671597633136,37829402.56172202,61048172.853173144,39.05,42.5
15,1949853792020.0298,458841502629.07245,72.0414201183432,39312392.40783965,64950572.97884324,39.05,42.5
16,1491084599807.0547,504725652891.97974,69.63757396449705,41578599.562610775,72310416.09748156,39.05,42.5
17,986437367090.3181,555198218181.1777,66.78994082840237,43241640.05333679,78420175.24316809,39.05,42.5
18,431325623700.06445,610718039999.2955,64.16420118343196,44982837.811300635,86474790.92402312,39.05,42.5
19,-179300945992.4425,488574431999.43646,61.612426035502956,46715863.45737729,91470306.78855145,39.05,42.5
20,-667776119495.4393,390859545599.5492,59.06065088757396,48432622.2012523,99258496.43965456,39.05,42.5
21,-1058530103904.7783,312687636479.63934,56.286982248520715,50239772.37913573,105561190.21018851,39.05,42.5
22,-1371103888748.1445,250150109183.7115,53.6612426035503,51965911.230232775,113851636.27304044,39.05,42.5
23,-1621134134735.97,200120087346.9692,51.109467455621306,53816276.14454859,119863195.88607736,39.05,42.5
24,-1821127763915.2322,160096069877.57538,48.48372781065089,55546132.91487671,126458167.70698513,39.05,42.5
25,-1981091995795.0312,128076855902.0603,46.22781065088758,57376563.03612796,131837997.77646956,39.05,42.5
26,-2109029311906.8257,102461484721.64825,43.75,59067928.3180254,139539790.2658528,39.05,42.5
27,-2211344610185.971,81969187777.3186,41.19822485207101,60873019.84933015,146186442.5027326,39.05,42.5
28,-2293160510399.122,65575350221.85489,38.72041420118343,62629493.12201386,153287564.1681997,39.05,42.5
29,-2358575967449.967,52460280177.48392,36.205621301775146,64470018.313973725,159893171.0101083,39.05,42.5
30,-2410870840582.5034,41968224141.98714,33.875739644970416,66176044.39516162,165407044.9474939,39.05,42.5
31,-2452668319638.278,33574579313.58971,31.582840236686387,67994006.00176512,170745086.2128266,39.05,42.5
32,-2486067938635.731,26859663450.87177,29.47485207100592,69664072.76063962,174960316.1365583,39.05,42.5
33,-2512748359592.1787,21487730760.69742,27.255917159763314,71368640.75158639,179242494.4236132,39.05,42.5
34,-2534051494093.8496,17190184608.557934,25.03698224852071,72879809.8554333,184596259.0262645,39.05,42.5
35,-2551053562128.061,13752147686.846348,22.965976331360945,74516329.64388126,188116574.34675407,39.05,42.5
36,-2564613621544.837,11001718149.47708,21.190828402366865,76064217.36669636,192088270.07034346,39.05,42.5
37,-2575419626578.712,8801374519.581663,19.08284023668639,77584876.64092913,195713115.60183603,39.05,42.5
38,-2584020613146.046,7041099615.665331,17.12278106508876,79169953.44422346,200387952.24734515,39.05,42.5
39,-2590857863508.4507,5632879692.532265,15.088757396449704,80758260.22846556,203849253.260613,39.05,42.5
40,-2596282764692.1714,4506303754.025812,13.091715976331361,82292193.41953196,207978508.81164068,39.05,42.5
41,-2600579025361.2817,3605043003.2206497,11.353550295857987,83902746.47411124,210043084.91542682,39.05,42.5
42,-2603971715076.475,2884034402.57652,9.837278106508876,85383413.6149636,212353288.02736494,39.05,42.5
43,-2606641559886.001,2307227522.061216,8.505917159763314,86820760.53979175,214189593.05091137,39.05,42.5
44,-2608732747976.499,1845782017.6489727,7.137573964497042,88229813.13175741,216039431.56289595,39.05,42.5
45,-2610359787482.704,1476625614.1191783,5.621301775147929,89662019.3930378,218742511.4436413,39.05,42.5
46,-2611616306083.951,1181300491.2953427,4.622781065088757,91129741.5241942,220107012.8721047,39.05,42.5
47,-2612577282835.2637,945040393.0362742,3.920118343195266,92553341.58627632,220323739.98310986,39.05,42.5
48,-2613300585526.859,756032314.4290195,3.0695266272189348,93906851.64900535,221737701.44082505,39.05,42.5
49,-2613834553923.121,604825851.5432156,2.6997041420118344,95352461.13442063,222063918.16718322,39.05,42.5
50,-2614216474525.6694,483860681.2345725,1.886094674556213,96678064.51039775,222905248.99534282,39.05,42.5
51,-2614476943930.1987,387088544.987658,1.3313609467455623,98041626.6029088,223391276.7051711,39.05,42.5
52,-2614640229829.2886,309670835.99012643,0.8505917159763313,99379686.8804618,223802645.89798617,39.05,42.5
