,Reserves,Yearly Public Spending,Unemployment Rate,GDP,Tax Revenue,Inflation Rate,Interest Rate
0,5439372030600.0,109843007650.0,8.4,0.0,0.0,39.05,42.5
1,5329529022950.0,120827308415.00002,100.0,0.0,0.0,39.05,42.5
2,5208708834646.12,132910039256.50003,96.90796653328484,17889018.20421718,7120111.120029072,39.05,42.5
3,5075816273712.264,146201043182.15005,93.81593306656966,17515590.73347181,17478322.64364914,39.05,42.5
4,4929633021962.53,160821147500.36508,94.14545454545454,2515362.5558927273,17791432.41717469,39.05,42.5
5,4768828314919.048,176903262250.4016,94.03636363636365,9796993.310005639,16440456.882629283,39.05,42.5
6,4591946417766.2,194593588475.4418,92.18466012359143,18046766.99796174,21365097.554026812,39.05,42.5
7,4397379038753.2817,214052947322.986,90.33430232558139,21303979.09324839,26209462.52371572,39.05,42.5
8,4183358569911.047,235458242055.2846,88.12636165577342,24931467.762698635,32478480.750889815,39.05,42.5
9,3947937075457.8257,259004066260.81308,86.0617059891107,27239310.09069082,36747602.06370435,39.05,42.5
10,3688976274330.9194,284904472886.8944,83.70827285921627,29591288.04320046,43265133.90675363,39.05,42.5
11,3404120994804.7363,313394920175.58386,81.37006161652772,32330185.72572688,49193360.71120692,39.05,42.5
12,3090782659528.258,344734412193.1423,78.65168539325843,34703746.60295564,56584899.105352215,39.05,42.5
13,2746110662402.6963,379207853412.45654,76.15077926785067,37326364.85522696,62415067.580470145,39.05,42.5
14,2366971301813.965,417128638753.7022,73.44202898550725,39218437.06630202,68492823.72485636,39.05,42.5
15,1949916967945.4673,458841502629.07245,70.88011590003622,40522130.73176912,74304885.20435876,39.05,42.5
16,1491155877994.89,504725652891.97974,68.23614632379572,42803517.03050143,80412678.49502292,39.05,42.5
17,986517387010.9978,555198218181.1777,65.66461427019196,44498268.50881612,87161908.08769324,39.05,42.5
18,431412458442.1924,610718039999.2955,63.16551973922492,46171997.193419,93289612.37226897,39.05,42.5
19,-179207296508.76715,488574431999.43646,60.7388627308946,47836048.55599551,98285048.33602326,39.05,42.5
20,-667675444127.4751,390859545599.5492,58.26999638074557,49518831.804634385,106284380.72855772,39.05,42.5
21,-1058422582582.654,312687636479.63934,55.7163531114327,51307055.66480305,112407144.37024808,39.05,42.5
22,-1370989507867.6348,250150109183.7115,53.09222423146473,53008837.77532658,120711194.65870528,39.05,42.5
23,-1621013518964.0142,200120087346.9692,50.777014817491875,54795968.51751388,126098087.33192798,39.05,42.5
24,-1821000723602.4463,160096069877.57538,48.22976878612717,56627733.8091735,132882708.53700873,39.05,42.5
25,-1980958356142.1646,128076855902.0603,45.809248554913296,58461978.104279846,138437337.85706782,39.05,42.5
26,-2108888547636.0435,102461484721.64825,43.3465560764515,60164290.929298274,146664408.1813524,39.05,42.5
27,-2211197258178.369,81969187777.3186,41.07464839523981,61997680.031820536,152774179.32265562,39.05,42.5
28,-2293007237216.7324,65575350221.85489,38.9689978370584,63706297.34291931,159208738.9552153,39.05,42.5
29,-2358419179211.3174,52460280177.48392,37.11711711711712,65561779.4655382,163408227.27007952,39.05,42.5
30,-2410711178542.3193,41968224141.98714,34.91891891891892,67186715.04935795,168280846.48170853,39.05,42.5
31,-2452505438684.402,33574579313.58971,33.04535637149028,68834198.71138686,173963999.9049201,39.05,42.5
32,-2485900610807.887,26859663450.87177,30.79136690647482,70465846.67119193,179407190.1046776,39.05,42.5
33,-2512576736050.1704,21487730760.69742,28.812949640287773,72046184.92941748,183538208.58859676,39.05,42.5
34,-2533875184083.1045,17190184608.557934,26.546762589928058,73659205.73164003,189282727.76300594,39.05,42.5
35,-2550872419948.0635,13752147686.846348,24.658519051042415,75373994.3702787,192948743.59926096,39.05,42.5
36,-2564427125749.228,11001718149.47708,22.681524083393242,77013846.8454688,197441885.68154627,39.05,42.5
37,-2575228727354.148,8801374519.581663,21.048850574712645,78671993.34134153,200116544.55706963,39.05,42.5
38,-2583825545996.903,7041099615.665331,19.44045911047346,80227276.60933237,204555876.82645842,39.05,42.5
39,-2590659486555.4585,5632879692.532265,17.718794835007174,81787417.33554505,207159057.10974136,39.05,42.5
40,-2596081306963.89,4506303754.025812,15.81211903908211,83297476.10113297,211059284.10046333,39.05,42.5
41,-2600375203517.648,3605043003.2206497,14.377913230548584,84808699.05829944,212407200.26782975,39.05,42.5
42,-2603764656602.3755,2884034402.57652,12.688172043010754,86154326.82081331,215589918.49310598,39.05,42.5
43,-2606431533802.8228,2307227522.061216,11.353868194842406,87573089.95922993,217157202.1293711,39.05,42.5
44,-2608518304180.366,1845782017.6489727,9.556191839656407,88935225.04935296,220457144.5175674,39.05,42.5
45,-2610141740211.8687,1476625614.1191783,8.15742397137746,90456276.61271587,222345986.14625782,39.05,42.5
46,-2611393666628.9463,1181300491.2953427,6.473533619456366,91849550.13792346,224699197.04160133,39.05,42.5
47,-2612350233204.4033,945040393.0362742,5.789849892780557,93328083.31237501,224733915.83817014,39.05,42.5
48,-2613068174640.55,756032314.4290195,4.680242943908539,94630831.03445825,227098956.8896603,39.05,42.5
49,-2613596538441.3057,604825851.5432156,4.107142857142857,96099266.481624,227668513.6735448,39.05,42.5
50,-2613971845287.133,483860681.2345725,2.9978586723768736,97484899.91099247,229519005.71608192,39.05,42.5
51,-2614225695125.2207,387088544.987658,2.4607703281027105,98928695.48018388,230010843.14652303,39.05,42.5
52,-2614381869270.354,309670835.99012643,1.9964349376114083,100249648.13141304,230914399.85472226,39.05,42.5
